z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.326298      8.074419      44.339500      -0.875440      3.032000      3.000000      0.879855      -1.991899      2.543549      216.44127330      0.37854180       51613      0305      460
0.271915      7.658539      44.037200      -0.761860      1.976000      2.500000      0.792395      -0.784600      2.661851      145.89838790      -0.72278600      51630      0266      125
0.367232      8.154462      44.087200      -1.207782      2.204000      3.000000      0.679449      -1.830567      2.522001      146.81399370      0.11890740       51630      0266      557
0.103969      7.612862      43.454300      -1.299083      2.416000      1.500000      0.886832      -0.159277      2.515012      219.69808350      -0.13485310      51663      0307      166
0.222865      8.191769      43.974700      -1.357590      1.931000      1.500000      0.971404      0.193748       2.495914      234.38140290      0.08741100       51663      0315      232
0.228049      7.863216      44.095600      -0.908137      2.614000      2.000000      0.886520      -0.931567      2.615290      228.55247920      -0.05327460      51665      0311      026
0.223082      8.022822      44.113700      -1.049643      2.823000      1.500000      0.919172      0.288322       2.781039      231.21289350      -0.59348560      51673      0313      140
0.166672      7.610582      43.733400      -1.017702      2.607000      1.500000      0.432820      1.040480       2.704135      211.97474570      -0.50517670      51688      0302      163
0.170992      7.993438      43.837900      -1.296058      2.393000      1.500000      0.821039      -0.098048      2.657223      229.00401760      0.16379620       51689      0312      387
0.121150      7.687179      43.919200      -0.908500      2.948000      2.500000      0.789606      -2.640550      2.563000      200.67699510      -2.42279020      51690      0341      425
0.282097      8.317302      44.052300      -1.405523      2.608000      1.000000      0.559681      0.215432       2.689509      236.76353810      0.49483050       51691      0342      463
0.373300      8.093584      44.275200      -0.958905      2.564000      2.500000      0.820617      -1.595656      2.661807      256.13244010      65.58496930      51691      0350      336
0.291931      8.656435      44.096300      -1.700656      2.029000      2.500000      0.919940      -0.938125      2.842795      194.09408280      -1.99986770      51694      0338      391
0.266084      7.798874      44.482600      -0.456794      3.152000      2.000000      0.732310      -1.131548      2.957343      194.88953700      -1.47590630      51694      0338      579
