z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    V98               sigma           RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.295109      7.656055      44.081200      -0.715376      2.230000      2.500000      0.896778      -0.956654      2.379156      -1165.320121      493.234866      216.01034420      1.02482310       51613      0305      432
0.379560      8.817717      44.372100      -1.586138      2.316000      1.000000      0.800560      -0.093772      2.808737      -1493.825833      344.866631      213.86771170      -1.08748020      51615      0303      054
0.288671      8.415575      44.171300      -1.384796      2.338000      1.500000      0.806989      -0.696964      2.625173      -1357.433054      498.977352      145.92530340      0.04881270       51630      0266      200
0.126704      7.924839      43.633400      -1.431960      2.823000      1.000000      0.796801      -0.191360      2.615746      -1480.836588      396.502327      146.06575050      0.18368490       51630      0266      494
0.333860      8.572538      44.352200      -1.360858      2.859000      2.500000      0.806720      -1.683641      2.677599      -1150.431534      289.817007      217.75718880      -0.71424670      51637      0306      214
0.296458      8.000524      44.273300      -0.867744      2.784000      2.500000      0.739821      -0.813773      2.501038      -1043.737091      333.374686      221.94593610      0.92164900       51662      0308      523
0.130245      8.129026      43.972700      -1.296846      2.808000      2.500000      0.675505      -1.307162      2.502364      -716.285343       248.358437      230.14730160      -0.34445600      51689      0312      030
0.252814      7.564818      44.019200      -0.686138      2.813000      1.000000      0.649592      -0.696426      2.390174      -853.476197       326.346138      237.18687170      0.27090030       51691      0342      502
0.276320      8.120966      44.047900      -1.213586      2.650000      0.500000      0.696969      -0.933579      2.546744      -1135.920695      264.040577      255.19563050      62.34900400      51699      0349      055
0.322675      8.525105      44.228800      -1.436826      2.675000      2.500000      0.563878      -0.961535      2.487829      -1069.135058      325.311494      252.33659720      63.07536580      51699      0349      261
0.289146      7.632499      44.074100      -0.698919      2.751000      1.500000      0.882801      0.107978       2.551440      -1375.827455      534.403982      257.08248400      60.63318040      51703      0353      445
0.280354      8.221655      44.249700      -1.112476      3.022000      2.500000      0.883578      -1.071258      2.483647      -1020.030325      402.768953      254.76733960      62.50343920      51780      0351      363
0.232264      8.283604      44.333300      -1.090825      2.748000      2.500000      0.704730      -1.888633      2.523320      -1085.062477      417.824794      254.99554670      62.03837730      51780      0351      476
0.190953      7.924842      43.984000      -1.081363      2.825000      2.000000      0.604759      -1.506036      2.562175      -1056.518465      356.638193      258.76780060      56.78778350      51788      0355      134
0.242560      7.752113      44.011500      -0.881133      3.074000      1.000000      0.774519      0.041726       2.729525      -1231.536594      299.898867      258.29393330      57.57409010      51788      0355      425
0.224417      7.725907      43.898600      -0.967827      3.060000      1.500000      0.932825      -0.946663      2.437129      -692.039232       257.477786      357.36028120      0.64060560       51788      0386      430
0.259351      8.060458      44.111600      -1.089378      2.327000      0.500000      0.824262      -0.075037      2.540767      -1086.481212      326.637341      358.28739010      0.66452960       51788      0386      546
0.145936      7.567020      43.848100      -0.859441      2.962000      2.500000      0.871197      -1.804703      2.423280      -1108.989457      387.763913      25.66032340       0.08741080       51788      0401      483
0.213350      7.608142      43.871300      -0.877363      3.017000      1.500000      0.845003      -0.924738      2.584685      -922.161092       152.436251      343.03992990      -0.09472500      51789      0379      237
0.251548      7.884005      44.210500      -0.814026      2.718000      2.500000      0.812612      -1.754133      2.549267      -1014.717977      351.137559      9.34790950        0.13683600       51793      0392      520
0.080529      8.309401      43.370400      -2.079522      2.592000      1.500000      0.824439      0.458438       2.602574      -1095.707531      406.698181      9.69988260        0.58265790       51793      0392      558
0.338499      7.735081      44.198300      -0.677302      3.167000      3.000000      0.735069      -1.683927      2.643636      -1239.247611      470.016666      28.28220820       0.21778460       51793      0402      588
0.195137      7.801853      43.684100      -1.258274      1.971000      2.000000      0.860027      0.031576       2.228620      -1094.724280      436.751000      17.43786260       -0.59557920      51794      0397      186
0.351756      8.890889      44.577600      -1.453809      2.823000      3.000000      0.745908      -1.580043      2.642128      -1211.164983      476.956491      347.44228820      0.01357860       51811      0381      485
0.186897      7.810258      43.956000      -0.994779      2.329000      2.500000      0.578250      -0.670704      2.489293      -1036.707885      375.926828      54.21468530       -0.17354770      51811      0416      316
0.161253      7.498307      43.704700      -0.934128      2.766000      1.500000      0.737401      0.334874       2.405671      -1331.442763      393.030782      263.84625010      55.43460090      51816      0360      363
0.186107      7.749820      44.109300      -0.781041      2.938000      2.000000      0.937893      -2.080995      2.574394      -987.952085       267.179463      349.29916850      -0.60102060      51816      0382      166
0.320982      8.381925      44.704900      -0.817546      2.820000      2.500000      0.985491      -2.313606      2.413915      -1161.602276      462.343688      349.42753270      0.09308280       51816      0382      173
0.191645      7.944643      43.670100      -1.415064      1.815000      2.000000      0.907179      -0.884812      2.654747      -1177.339360      232.453650      15.33293520       -0.62464370      51816      0396      315
0.150270      7.599942      44.187700      -0.552762      2.599000      2.000000      0.734789      -1.007370      2.426069      -1270.143999      523.482650      350.74996260      -0.89978310      51818      0383      257
0.300091      7.881044      44.443200      -0.578365      2.936000      3.000000      0.670899      -1.757445      2.557545      -881.105136       251.354118      14.26835360       14.29982450      51821      0421      318
0.188979      8.712154      44.213700      -1.638975      2.661000      1.500000      0.993340      -0.735096      2.508631      -1449.694790      459.159690      19.68977990       13.55754320      51821      0423      008
0.299794      8.765172      44.607400      -1.298292      2.861000      2.500000      0.794107      -1.325258      2.667042      -1087.139806      136.152408      125.52187570      45.89696710      51868      0441      021
0.132171      8.000352      43.865200      -1.275673      2.834000      1.000000      0.873609      -0.837285      2.578475      -1452.293620      495.491680      126.45644110      47.17441460      51868      0441      578
0.284962      8.371525      44.073200      -1.438846      2.673000      3.000000      0.858578      -0.190953      2.648834      -1620.040081      591.900176      126.21297810      47.53921500      51868      0441      621
0.269262      7.829851      44.191900      -0.778471      2.490000      2.500000      0.654400      -1.041108      2.437489      -979.089970       375.943675      35.04696100       -0.11009960      51869      0406      279
0.273670      7.771779      44.125300      -0.787000      2.578000      3.000000      0.604751      -1.512492      2.540974      -1184.885699      331.998244      34.50975220       -0.44694330      51869      0406      312
0.174341      7.564776      43.825500      -0.879797      3.022000      1.500000      0.804062      0.445365       2.757895      -1341.221048      205.772794      30.12109790       0.47960140       51871      0403      596
0.236825      8.527984      44.170200      -1.498305      2.658000      2.000000      0.843847      -0.911434      2.637273      -1229.219974      375.324257      116.29999430      38.15316020      51873      0433      178
0.096910      7.308971      43.309800      -1.139692      1.746000      0.000000      0.549889      2.526552       2.273028      -1351.212303      246.416645      127.25062650      49.98581490      51873      0443      513
0.276926      7.896662      44.300900      -0.736283      3.421000      2.000000      0.719006      -1.298799      2.594385      -974.838714       325.188222      130.00544810      50.49576850      51873      0445      151
0.312534      7.844305      44.217400      -0.767425      2.885000      2.500000      0.700440      -1.489635      2.638511      -993.739414       388.514457      355.08262760      -0.98564320      51877      0385      202
0.380628      8.368827      44.518100      -0.991248      3.091000      3.000000      0.808023      -1.233694      2.211570      -861.286237       360.580199      28.24622070       14.90775740      51877      0430      379
0.310797      7.841108      44.282400      -0.699229      3.114000      2.500000      0.976014      -1.030497      2.587371      -1238.304233      419.068321      28.24776310       14.46058460      51877      0430      492
0.254545      8.302623      44.447900      -0.995243      2.636000      3.000000      0.812191      -2.036147      2.483912      -1082.642718      435.867724      123.32465420      43.93906670      51877      0439      009
