z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    V98               sigma           RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.333004      7.916196      44.164700      -0.892017      2.445000      3.500000      0.746036      -0.564884      2.260661      -704.019465       261.359258      217.00080540      -0.17414570      51613      0305      094
0.322032      7.942565      44.344600      -0.738486      3.013000      2.500000      0.658619      -0.505138      2.635906      -1134.370093      225.217982      171.82376240      -0.79521620      51614      0281      220
0.368368      7.679672      43.966400      -0.853792      2.809000      4.000000      0.631783      -2.179274      2.706776      -856.452131       159.445586      145.93983210      -0.79008300      51630      0266      133
0.325567      7.808116      44.197200      -0.751437      3.101000      4.500000      0.726725      -1.847605      2.521334      -926.299006       312.982383      146.29183850      -0.25950570      51630      0266      161
0.377238      8.404446      44.501300      -1.043667      3.253000      2.500000      0.774651      -0.103653      2.562517      -1440.975038      529.883459      222.84366500      -0.56141070      51662      0308      073
0.319175      7.860596      44.255100      -0.746016      2.871000      4.500000      0.872941      -1.251407      2.455702      -835.398972       314.724001      222.05212590      -0.51089100      51662      0308      141
0.382840      8.561788      44.355700      -1.346608      2.459000      3.500000      0.768534      -0.182707      2.715301      -410.859688       86.879469       211.81731820      -1.01737650      51688      0302      124
0.325041      8.026674      44.402000      -0.765195      3.478000      3.500000      0.797788      -0.983680      2.656238      -1456.435684      433.628042      237.75222430      0.20157420       51691      0342      598
0.034378      7.301751      42.955600      -1.486671      1.529000      1.500000      0.676092      2.883068       2.738794      -1369.890738      199.815204      259.34930700      64.28991380      51691      0350      111
0.228191      7.508301      43.929900      -0.718922      3.040000      3.000000      0.857363      0.090991       2.506850      -652.093175       214.931878      258.32428530      64.35391140      51691      0350      169
0.159606      7.850580      43.724300      -1.266801      3.095000      3.000000      0.635110      1.268784       2.626534      -1159.712100      299.531695      196.89335440      -1.96181780      51692      0339      544
0.178804      7.836275      43.844700      -1.132096      3.052000      3.500000      0.734999      -0.109776      2.360603      -642.079239       235.798139      6.31859490        1.19192490       51782      0391      338
0.195814      7.890030      43.983200      -1.047350      3.337000      3.000000      0.834380      -0.181072      2.403452      -870.535760       292.218295      14.28256540       0.08894310       51783      0395      393
0.291322      8.523479      44.115800      -1.548199      2.505000      3.000000      0.918220      -0.684864      2.536412      -1078.997512      438.273056      0.65104140        -0.45685250      51791      0387      110
0.229674      7.801843      44.087800      -0.854564      2.741000      3.000000      0.899503      0.352340       2.479041      -931.541872       215.320031      261.50706660      60.98049420      51792      0354      560
0.223339      8.263379      44.035400      -1.368499      2.938000      2.000000      0.896501      1.121787       2.546933      -870.002427       310.161773      344.37758000      -0.34258680      51792      0380      266
0.113677      7.137533      43.499300      -0.778754      3.179000      3.500000      0.888240      -0.708110      2.582144      -834.981356       171.876643      1.56261000        1.19158790       51793      0388      408
0.108554      7.778485      43.431300      -1.487706      2.428000      3.500000      0.672785      1.005265       2.382195      -806.519229       245.804925      10.89983810       0.24883310       51794      0393      477
0.220470      7.519138      43.721600      -0.938058      3.004000      2.000000      0.650789      1.544970       2.655343      -1294.506511      241.279878      2.78744380        -1.18724880      51795      0389      295
0.273838      8.091179      44.158000      -1.073700      2.786000      3.500000      0.818769      -0.943384      2.668210      -1234.851271      373.753966      3.44384310        0.56755400       51795      0389      422
