Name   RA_DEC            Bulge  BH    MB   Act  O/H   BMAG    Morpho
SDSS J105809.84-004628.8  9.04  NA   10.55 SFG +0.26 -18.46   Sc 
SDSS J113903.33-001221.6  9.40  6.41 10.55 AGN -0.15 -18.06   Sab
SDSS J135807.05-002332.9  9.17  NA   11.04 SFG +0.43 -19.68   Sc 
SDSS J142223.76-002315.5  8.39  NA    9.91 SFG +0.31 -17.11   Sd 
SDSS J150654.85+001110.8  9.99  7.06 11.12 AGN -0.16 -19.52   Sa 
SDSS J113423.32-023145.5  9.69  6.74 11.22 AGN -0.24 -19.75   Sb 
SDSS J115425.04-021910.3  8.52  NA    9.61 SFG +0.20 -16.35   Sd 
SDSS J122353.98-032634.4  8.77  5.70 10.28 TO  +0.16 -17.40   Sab
SDSS J124428.12-030018.8  9.33  6.33 10.81 TO  +0.14 -19.10   Sc 
SDSS J170128.21+634128.0  9.03  NA   10.63 SFG +0.47 -18.65   Sc 
SDSS J172613.73+620858.1  9.65  6.69 10.85 AGN -0.19 -18.85   Sa 
SDSS J173044.85+562107.1  9.88  6.94 11.01 AGN -0.35 -19.25   Sa 
SDSS J214907.29+002650.3  8.80  NA   10.48 SFG +0.51 -18.28   Sc 
SDSS J224424.36-000943.5  9.39  6.39 11.10 TO  +0.24 -19.44   Sb 
SDSS J235106.25+010324.1  9.48  NA   10.24 SFG +0.48 -17.67   Sc 
SDSS J020540.31-004141.4  9.93  7.00 11.07 TO  +0.21 -19.37   Sab
SDSS J021859.64+001948.0  9.33  NA   10.64 SFG +0.44 -18.69   Sc 
SDSS J025154.58+003953.3  9.49  NA   10.95 SFG +0.29 -19.06   Sb 
SDSS J031347.83+004139.7  9.34  6.35 11.02 TO  +0.10 -19.27   Sa 
SDSS J032406.50-010328.2  9.43  6.45 10.72 TO  +0.03 -18.49   Sb 
SDSS J003823.71+150222.4  9.21  NA   10.80 SFG +0.38 -18.69   Sab
SDSS J004332.39+142033.2  8.87  NA   10.94 SFG +0.39 -19.43   Sc 
SDSS J012853.25+134737.6  9.12  6.09 10.75 TO  +0.02 -18.95   Sc 
SDSS J020824.97+142058.4  9.17  NA   10.98 SFG +0.33 -19.15   Sb 
SDSS J073836.50+373800.6  8.84  NA   10.49 SFG +0.42 -18.31   Sc 
SDSS J082959.96+524149.8  8.96  NA   10.66 SFG +0.62 -18.35   Sb 
SDSS J025017.75-083548.5  9.37  6.37 10.45 AGN -0.20 -17.84   Sa 
SDSS J030848.32-070226.1  9.49  6.51 10.98 TO  +0.28 -19.53   Sc 
SDSS J032501.68-054444.8  9.59  6.62 10.61 AGN -0.06 -18.25   Sa 
SDSS J033358.81-070826.6  9.67  6.71 10.85 TO  +0.10 -18.82   Sab
SDSS J034626.96-063152.5  9.26  NA   11.06 SFG +0.21 -19.73   Sc 
SDSS J090513.20-002947.8  9.50  6.52 10.45 TO  -0.01 -17.82   Sb 
SDSS J091650.03+003421.7  9.34  NA   10.66 SFG +0.24 -18.34   Sab
SDSS J092238.17+605155.6  9.17  6.16 10.92 TO  -0.18 -19.39   Sc 
