 ID    Name                            RA-s               Dec-s            RA            Dec         Type      Velocity         Redshift
  1    ABELL S1063                     22h48m45.7680s    -44d31m36.840s    342.19070    -44.52690    GClstr    110923.209460    0.3700
  2    ABELL S1063:[KCC2017] NE-097    22h48m45.8400s    -44d31m36.444s    342.19100    -44.52679    IrS      1113129.396550    3.7130
  3    ABELL S1063:[KCC2017] NE-065    22h48m45.3768s    -44d31m35.220s    342.18907    -44.52645    G         104867.401808    0.3498
  4    ABELL S1063:[KCC2017] NE-055    22h48m45.2568s    -44d31m36.156s    342.18857    -44.52671    G         104327.775384    0.3480
  5    SSTSL2 J224846.39-443135.2      22h48m46.3992s    -44d31m35.112s    342.19333    -44.52642    IrS       103368.439518    0.3448
  6    ABELL S1063:[KCC2017] NE-002    22h48m46.3128s    -44d31m41.376s    342.19297    -44.52816    IrS            0.0         0.0
  7    SSTSL2 J224845.15-443133.5      22h48m45.1512s    -44d31m33.492s    342.18813    -44.52597    IrS       104747.484825    0.3494
  8    [BVR2013] J224845.08-443138.4   22h48m45.0792s    -44d31m38.316s    342.18783    -44.52731    G_Lens    458682.460740    1.5300
  9    ABELL S1063:[DBW2016] 10.2      22h48m45.4920s    -44d31m43.830s    342.18955    -44.52884    G_Lens    218848.494340    0.7300
 10    ABELL S1063:[KCC2017] NE-087b   22h48m45.3456s    -44d31m43.104s    342.18894    -44.52864    G_Lens    218458.764144    0.7287
 11    RXC J2248.7-4431:[MSG2014] 05b  22h48m45.0576s    -44d31m38.892s    342.18774    -44.52747    G_Lens    413713.592040    1.3800
 12    ABELL S1063:[KCC2017] NE-091    22h48m46.1712s    -44d31m30.180s    342.19238    -44.52505    IrS       892182.355008    2.9760
 13    ABELL S1063:[DBW2016] 44.2      22h48m46.1860s    -44d31m30.250s    342.19244    -44.52506    G_Lens    892182.355008    2.9760
 14    ABELL S1063:[DBW2016] 47.2      22h48m45.9010s    -44d31m45.200s    342.19125    -44.52922    G_Lens    802364.534591    2.6764
 15    SSTSL2 J224845.37-443128.9      22h48m45.3624s    -44d31m28.920s    342.18901    -44.52470    IrS       101389.809295    0.3382
 16    ABELL S1063:[DBW2016] 21.1      22h48m44.8770s    -44d31m38.700s    342.18698    -44.52741    G_Lens    221846.418920    0.7400
 17    ABELL S1063:[JSB2014] 01.1      22h48m46.6800s    -44d31m37.128s    342.19450    -44.52698    G_Lens    368145.138424    1.2280
 18    ABELL S1063:[KCC2017] NE-001    22h48m44.8800s    -44d31m34.212s    342.18700    -44.52617    IrS            0.0         0.0
 19    ABELL S1063:[DBW2016] 45.2      22h48m46.3880s    -44d31m29.430s    342.19328    -44.52484    G_Lens    813906.544224    2.7149
 20    SSTSL2 J224845.61-443126.9      22h48m45.6048s    -44d31m26.868s    342.19002    -44.52413    IrS       105826.737674    0.3530
