

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.


queryDateTime:2007-11-21T06:10:20PST



Main Information Table for ABELL 0085



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|pos_ra_equ|pos_dec_equ|Object Type|Velocity|Redshift|Redshift_flag|DistanceArcmin|Number of References|Number of Notes|Number of Photometry Data Points|Number of Position Data Points|Number of Redshift Data Points|Number of Diameter Data Points|Number of Associations
1|MCG -02-02-033|  7.62429 |  -8.78330 |G|  5388| 0.017972 |    ||12|0|33|2|4|9|0
2|MCG -01-02-025|  7.80875 |  -7.84078 |G|  6114| 0.020394 |    ||12|0|16|1|2|6|0
3|MCG -02-02-040|  7.89883 | -10.50631 |G|  3573| 0.011919 |    ||27|0|19|2|5|5|0
4|MCG -02-02-049|  8.17771 | -11.31814 |G|  4033| 0.013453 |    ||22|0|19|2|4|5|0
5|NGC 0155|  8.66701 | -10.76651 |G|  6210| 0.020714 |    ||18|0|31|3|4|9|0
6|MCG -01-02-034|  8.67042 |  -7.90286 |G|  5372| 0.017919 |    ||9|0|15|3|2|4|0
7|MCG -02-02-062|  8.95125 |  -8.59044 |G| 17033| 0.056816 |    ||5|0|10|2|1|3|0
8|NGC 0163|  8.99929 | -10.12170 |G|  5982| 0.019954 |    ||23|2|34|4|4|10|0
9|VV 548|  9.00830 |  -9.88853 |G|  4937| 0.016468 |    ||32|3|44|3|7|10|0
10|MCG -01-02-039|  9.03650 |  -7.53728 |G|  5401| 0.018016 |    ||8|0|11|2|3|5|0
11|APMUKS(BJ) B003514.68-085038.3|  9.44521 |  -8.56906 |G|||||1|0|1|1|0|0|0
12|APMUKS(BJ) B003514.93-091538.3|  9.44571 |  -8.98597 |G|||||1|0|1|1|0|0|0
13|ABELL 0085:[SDG98] 0003|  9.44696 |  -8.84806 |G|||||1|0|0|0|0|0|0
14|ABELL 0085:[SDG98] 0004|  9.44708 | -10.24453 |G|||||1|0|0|0|0|0|0
15|APMUKS(BJ) B003515.25-090026.0|  9.44733 |  -8.73231 |G|||||1|0|1|1|0|0|0
16|ABELL 0085:[SDG98] 0006|  9.44763 | -10.24881 |G|||||1|0|0|0|0|0|0
17|APMUKS(BJ) B003515.72-103120.5|  9.44825 | -10.24744 |G|||||1|0|1|1|0|0|0
18|APMUKS(BJ) B003515.77-094643.7|  9.44900 |  -9.50386 |G|||||1|0|1|1|0|0|0
19|APMUKS(BJ) B003515.73-092238.5|  9.44908 |  -9.10250 |G|||||1|0|1|1|0|0|0
20|APMUKS(BJ) B003515.78-083727.6|  9.44983 |  -8.34950 |G|||||1|0|1|1|0|0|0
21|APMUKS(BJ) B003515.89-085751.4|  9.45008 |  -8.68942 |G|||||1|0|1|1|0|0|0
22|APMUKS(BJ) B003516.79-092936.0|  9.45342 |  -9.21844 |G|||||1|0|1|1|0|0|0
23|APMUKS(BJ) B003517.19-103033.3|  9.45446 | -10.23431 |G|||||1|0|1|1|0|0|0
24|ABELL 0085:[SDG98] 0014|  9.45538 |  -8.73006 |G|||||1|0|0|0|0|0|0
25|APMUKS(BJ) B003517.90-102942.4|  9.45733 | -10.22028 |G|||||1|0|1|1|0|0|0
26|ABELL 0085:[SDG98] 0016|  9.45742 |  -8.82061 |G|||||1|0|0|0|0|0|0
27|APMUKS(BJ) B003517.76-092243.5|  9.45758 |  -9.10392 |G|||||1|0|1|1|0|0|0
28|APMUKS(BJ) B003518.05-102105.1|  9.45808 | -10.07667 |G|||||1|0|1|1|0|0|0
29|ABELL 0085:[SDG98] 0020|  9.45913 |  -8.84331 |G|||||1|0|0|0|0|0|0
30|SDSS J003750.19-090526.9|  9.45913 |  -9.09082 |G| 15872| 0.052942 |    ||1|0|21|2|2|4|0
31|APMUKS(BJ) B003518.10-083532.3|  9.45963 |  -8.31733 |G|||||1|0|1|1|0|0|0
32|ABELL 0085:[SDG98] 0022|  9.46012 |  -9.88906 |G|||||1|0|0|0|0|0|0
33|APMUKS(BJ) B003518.79-102540.6|  9.46100 | -10.15314 |G|||||1|0|1|1|0|0|0
34|APMUKS(BJ) B003518.53-083418.2|  9.46142 |  -8.29681 |G|||||1|0|1|1|0|0|0
35|ABELL 0085:[SDG98] 0025|  9.46175 |  -8.77667 |G|||||1|0|0|0|0|0|0
36|ABELL 0085:[SDG98] 0026|  9.46242 |  -9.24217 |G|||||1|0|0|0|0|0|0
37|APMUKS(BJ) B003518.94-090449.6|  9.46258 |  -8.80547 |G|||||1|0|1|1|0|0|0
38|APMUKS(BJ) B003519.04-092744.4|  9.46279 |  -9.18725 |G|||||1|0|1|1|0|0|0
39|ABELL 0085:[SDG98] 0029|  9.46404 | -10.16283 |G|||||1|0|0|0|0|0|0
40|APMUKS(BJ) B003519.45-092702.0|  9.46446 |  -9.17561 |G|||||1|0|1|1|0|0|0
41|ABELL 0085:[SDG98] 0031|  9.46521 |  -9.07858 |G|||||1|0|0|0|0|0|0
42|ABELL 0085:[SDG98] 0032|  9.46542 |  -9.92519 |G|||||1|0|0|0|0|0|0
43|APMUKS(BJ) B003519.98-103250.6|  9.46600 | -10.27247 |G|||||1|0|1|1|0|0|0
44|ABELL 0085:[SDG98] 0034|  9.46629 |  -8.52233 |G|||||1|0|0|0|0|0|0
45|2MASX J00375207-0955572|  9.46712 |  -9.93258 |G|||||1|0|10|1|0|2|0
46|ABELL 0085:[SDG98] 0036|  9.46854 |  -9.17131 |G|||||1|0|0|0|0|0|0
47|APMUKS(BJ) B003520.51-092500.7|  9.46892 |  -9.14194 |G|||||1|0|1|1|0|0|0
48|ABELL 0085:[SDG98] 0038|  9.46933 |  -9.30133 |G|||||1|0|0|0|0|0|0
49|APMUKS(BJ) B003520.84-100303.0|  9.46988 |  -9.77589 |G|||||1|0|1|1|0|0|0
50|APMUKS(BJ) B003520.68-084408.7|  9.47025 |  -8.46092 |G|||||1|0|1|1|0|0|0
51|APMUKS(BJ) B003521.13-101650.8|  9.47087 | -10.00597 |G|||||1|0|1|1|0|0|0
52|2MASX J00375322-0942202|  9.47172 |  -9.70559 |G| 58616| 0.195522 |    ||7|0|32|2|2|6|0
53|ABELL 0085:[SDG98] 0043|  9.47196 |  -8.73753 |G|||||1|0|0|0|0|0|0
54|APMUKS(BJ) B003521.11-083905.8|  9.47200 |  -8.37678 |G|||||1|0|1|1|0|0|0
55|ABELL 0085:[SDG98] 0045|  9.47208 |  -8.50117 |G|||||1|0|0|0|0|0|0
56|APMUKS(BJ) B003521.55-094321.6|  9.47304 |  -9.44775 |G|||||1|0|1|1|0|0|0
57|APMUKS(BJ) B003521.75-095942.2|  9.47387 |  -9.72056 |G|||||1|0|1|1|0|0|0
58|ABELL 0085:[SDG98] 0048|  9.47396 |  -8.92108 |G|||||1|0|0|0|0|0|0
59|SDSS J003753.77-090425.5|  9.47407 |  -9.07375 |G| 45118| 0.150499 |    ||1|0|21|2|2|4|0
60|ABELL 0085:[SDG98] 0050|  9.47504 |  -8.81803 |G|||||1|0|0|0|0|0|0
61|APMUKS(BJ) B003522.22-095953.0|  9.47567 |  -9.72306 |G|||||1|0|1|1|0|0|0
62|ABELL 0085:[SDG98] 0052|  9.47687 |  -9.88719 |G|||||1|0|0|0|0|0|0
63|APMUKS(BJ) B003522.29-084521.9|  9.47692 |  -8.48114 |G|||||1|0|1|1|0|0|0
64|APMUKS(BJ) B003522.62-101348.2|  9.47708 |  -9.95536 |G|||||1|0|1|1|0|0|0
65|APMUKS(BJ) B003522.33-083554.6|  9.47712 |  -8.32358 |G|||||1|0|1|1|0|0|0
66|ABELL 0085:[SDG98] 0056|  9.47738 |  -9.86875 |G|||||1|0|0|0|0|0|0
67|ABELL 0085:[SDG98] 0057|  9.47862 |  -9.76839 |G|||||1|0|0|0|0|0|0
68|APMUKS(BJ) B003522.95-100123.8|  9.47875 |  -9.74836 |G|||||1|0|1|1|0|0|0
69|ABELL 0085:[SDG98] 0059|  9.47912 |  -9.96992 |G|||||1|0|0|0|0|0|0
70|APMUKS(BJ) B003522.99-090316.4|  9.47954 |  -8.77969 |G|||||1|0|1|1|0|0|0
71|APMUKS(BJ) B003523.07-085353.9|  9.47996 |  -8.62353 |G|||||1|0|1|1|0|0|0
72|APMUKS(BJ) B003523.33-095156.5|  9.48038 |  -9.59069 |G|||||1|0|1|1|0|0|0
73|ABELL 0085:[SDG98] 0063|  9.48192 |  -8.67633 |G|||||1|0|0|0|0|0|0
74|APMUKS(BJ) B003523.82-103216.0|  9.48196 | -10.26300 |G|||||1|0|1|1|0|0|0
75|ABELL 0085:[SDG98] 0065|  9.48237 |  -8.45011 |G|||||1|0|0|0|0|0|0
76|ABELL 0085:[SDG98] 0066|  9.48267 | -10.21747 |G|||||1|0|0|0|0|0|0
77|ABELL 0085:[SDG98] 0067|  9.48379 |  -9.38397 |G|||||1|0|0|0|0|0|0
78|APMUKS(BJ) B003524.39-102803.5|  9.48438 | -10.19292 |G|||||1|0|1|1|0|0|0
