SDSS  Name1                RA          DEC       z       Morp  R50   IC    L_K     L_Age   O3Hb    N2Hb   Act  L_Ha  Sigma L5100  Name2
SDSS  J105809.84-004628.8  164.54102  -00.77468  0.0215  Sc     6.5  2.18  10.43    8.79  -0.364  -0.351  SFG  6.19   87  42.13  CGCG_010-046
SDSS  J113903.33-001221.6  174.76388  -00.20600  0.0181  Sab    8.6  3.06  10.77    9.82   0.228   0.060  AGN  6.05  144  42.56  IC_0716
SDSS  J135807.05-002332.9  209.52940  -00.39248  0.0296  Sc     9.8  2.11  10.80    8.61  -0.604  -0.521  SFG  7.03   86  42.76  CGCG_018-010
SDSS  J142223.76-002315.5  215.59903  -00.38766  0.0055  Sd     4.6  1.90  10.01    7.81  -0.437  -0.494  SFG  5.50   81  41.16  NGC_5584
SDSS  J150654.85+001110.8  226.72857  +00.18634  0.0351  Sa    12.1  2.72  11.19    9.60   0.253   0.055  AGN  6.67  202  43.11  CGCG_021-005
SDSS  J113423.32-023145.5  173.59719  -02.52933  0.0395  Sb    13.9  2.09  11.06    9.79   0.363   0.238  AGN  6.23  136  43.00  CGCG_012-025
SDSS  J115425.04-021910.3  178.60434  -02.31955  0.0080  Sd     4.5  2.12   9.78    8.05  -0.275  -0.453  SFG  5.36   78  41.29  UGC_06879
SDSS  J122353.98-032634.4  185.97495  -03.44292  0.0068  Sab    5.5  2.79  10.58    8.92  -0.218  -0.148  TO   5.39  113  41.64  NGC_4348
SDSS  J124428.12-030018.8  191.11718  -03.00525  0.0239  Sc     8.6  2.65  10.61    9.17  -0.193  -0.300  TO   6.28  115  42.69  CGCG_015-010
SDSS  J170128.21+634128.0  255.36758  +63.69112  0.0163  Sc     5.5  1.76  10.42    7.89  -0.671  -0.375  SFG  7.20   99  42.52  IC_1241
SDSS  J172613.73+620858.1  261.55724  +62.14949  0.0279  Sa     9.8  2.57  10.94    9.71   0.291  -0.024  AGN  6.10  155  42.79  UGC_10863
SDSS  J173044.85+562107.1  262.68690  +56.35197  0.0303  Sa     8.3  2.98  11.05    9.70   0.519   0.083  AGN  6.43  191  43.17  CGCG_278-007
SDSS  J214907.29+002650.3  327.28040  +00.44733  0.0158  Sc     7.3  2.03  10.13    8.66  -0.718  -0.482  SFG  6.39   77  42.06  UGC_11816
SDSS  J224424.36-000943.5  341.10153  -00.16210  0.0162  Sb     8.1  3.11  11.09    9.10  -0.339  -0.134  TO   6.37  149  42.90  NGC_7364
SDSS  J235106.25+010324.1  357.77605  +01.05670  0.0270  Sc    12.8  2.06  11.04    8.88  -0.685  -0.429  SFG  7.28  129  42.65  UGC_12810
SDSS  J020540.31-004141.4  031.41798  -00.69486  0.0424  Sab   19.0  3.00  11.10   10.04  -0.295  -0.201  TO   7.05  172  42.92  UGC_01588
SDSS  J021859.64+001948.0  034.74854  +00.33001  0.0298  Sc     6.3  2.12  10.82    8.74  -0.622  -0.491  SFG  7.03  102  42.58  CGCG_387-070
SDSS  J025154.58+003953.3  042.97746  +00.66482  0.0293  Sb    10.9  2.56  10.83    9.04  -0.408  -0.398  SFG  6.65  125  42.65  UGC_02346
SDSS  J031347.83+004139.7  048.44930  +00.69437  0.0212  Sa     6.7  2.96  10.77    9.24  -0.133  -0.198  TO   6.39  124  42.92  CGCG_390-029
SDSS  J032406.50-010328.2  051.02712  -01.05785  0.0252  Sb     8.2  2.82  10.63    9.54  -0.031  -0.203  TO   6.14  126  42.65  CGCG_390-082
SDSS  J003823.71+150222.4  009.59883  +15.03956  0.0179  Sab    8.1  3.58  10.55    8.17  -0.532  -0.340  SFG  7.19  116  42.74  UGC_00386
SDSS  J004332.39+142033.2  010.88497  +14.34257  0.0149  Sc     9.0  1.91  11.01    8.53  -0.550  -0.387  SFG  6.72   86  42.43  NGC_0234
SDSS  J012853.25+134737.6  022.22189  +13.79380  0.0212  Sc     8.6  2.44  10.60    9.35  -0.016  -0.154  TO   5.97   96  42.31  UGC_01057
SDSS  J020824.97+142058.4  032.10408  +14.34956  0.0148  Sb     6.3  2.33  10.92    8.74  -0.462  -0.355  SFG  6.60  122  42.62  NGC_0820
SDSS  J073836.50+373800.6  114.65212  +37.63351  0.0130  Sc     6.3  2.16  10.14    8.88  -0.593  -0.438  SFG  6.04   88  41.82  UGC_03944
SDSS  J082959.96+524149.8  127.49987  +52.69719  0.0141  Sb     5.2  1.90  10.49    8.37  -0.890  -0.416  SFG  7.08   98  42.35  UGC_04438
SDSS  J025017.75-083548.5  042.57398  -08.59682  0.0178  Sa     8.5  2.83  10.80    9.87   0.300   0.210  AGN  5.62  139  42.02  MCG_-02-08-012
