PSO Pan-STARRS1    Identifier RAdeg    DECdeg     Period    PM
PSO J010.6222+41.6037 1143849 10.62223 41.60370   1.920636  0.000071
PSO J010.7287+41.0043 1647734 10.72873 41.00425   1.914815  0.000103
PSO J009.4736+40.7454 1850801 09.47361 40.74537   1.699042  0.000138
PSO J009.8456+40.9594 1898805 09.84557 40.95936   1.839109  0.000070
PSO J011.9174+41.9608 1981820 11.91740 41.96083   1.873396  0.000233
PSO J011.8303+42.0741 1997192 11.83029 42.07414   1.846308  0.000079
PSO J011.9423+42.1934 2014109 11.94228 42.19337   1.910190  0.000135
PSO J011.6135+41.9031 2051834 11.61350 41.90308   1.700779  0.000078
PSO J011.6012+42.0350 2108691 11.60119 42.03497   1.643588  0.000113
PSO J010.8394+41.8568 2182671 10.83939 41.85676   1.874533  0.000067
PSO J011.0166+41.8893 2196522 11.01662 41.88931   1.848233  0.000150
PSO J010.4821+41.8828 2299006 10.48212 41.88284   1.861071  0.000075
PSO J011.4574+42.2976 2493844 11.45745 42.29759   1.689511  0.000076
PSO J011.5920+42.3186 2498863 11.59199 42.31858   1.790781  0.000073
PSO J011.5102+42.3814 2512061 11.51015 42.38145   1.779840  0.000067
PSO J011.6632+42.3930 2514599 11.66320 42.39302   1.699045  0.000069
PSO J011.2795+41.1489  252618 11.27945 41.14887   1.971066  0.000104
PSO J010.2227+40.4287 2786018 10.22275 40.42869   1.947901  0.000132
PSO J010.0544+40.4722 2794211 10.05437 40.47215   1.804089  0.000130
PSO J009.7656+40.4503 2913720 09.76562 40.45030   1.938430  0.000097
PSO J009.5682+40.5154 2933467 09.56821 40.51542   1.566910  0.000074
PSO J011.7772+42.5608 3012073 11.77718 42.56078   1.583140  0.003552
PSO J011.7773+42.6381 3022421 11.77729 42.63810   1.888640  0.000173
PSO J010.0189+40.3054 3202443 10.01894 40.30537   1.984515  0.000262
PSO J009.8695+40.3504 3299031 09.86952 40.35042   1.828310  0.001064
PSO J009.0415+41.2478  704730 09.04155 41.24777   1.535896  0.000198
PSO J011.2614+41.5069 1051650 11.26141 41.50690   2.887782  0.000220
PSO J011.3250+41.5968 1074785 11.32500 41.59676   2.415154  0.000235
PSO J010.5193+41.6436 1087701 10.51932 41.64362   2.412982  0.000150
PSO J010.4205+41.7630 1109761 10.42048 41.76296   2.441617  0.000142
PSO J010.4444+41.4844 1119987 10.44439 41.48438   2.287210  0.000122
PSO J010.4680+41.4920 1121532 10.46797 41.49201   2.341759  0.000116
PSO J010.4186+41.4922 1121606 10.41863 41.49223   2.519917  0.000202
PSO J010.3954+41.5212 1127438 10.39543 41.52121   2.276680  0.000121
PSO J010.4754+41.5324 1129646 10.47544 41.53237   2.038418  0.000098
PSO J010.5989+41.5382 1130735 10.59894 41.53823   2.084089  0.000081
PSO J010.4576+41.5440 1132020 10.45761 41.54398   2.754813  0.000133
PSO J010.4561+41.5678 1136743 10.45614 41.56780   2.287996  0.000146
PSO J010.5268+41.5728 1137711 10.52679 41.57275   2.831928  0.000209
PSO J010.6344+41.5938 1141829 10.63436 41.59376   2.269896  0.000117
PSO J010.8153+41.6638 1157429 10.81527 41.66385   2.024193  0.000102
PSO J010.8551+41.6885 1161575 10.85506 41.68847   2.350801  0.000177
PSO J010.7655+41.6996 1163146 10.76549 41.69961   2.385679  0.000124
PSO J010.7460+41.7107 1165105 10.74600 41.71073   2.896599  0.000244
PSO J010.7466+41.7391 1170616 10.74664 41.73907   2.575616  0.000160
PSO J010.8735+41.7910 1179853 10.87354 41.79096   2.151649  0.000260
PSO J010.6857+41.5448 1208140 10.68566 41.54485   2.972724  0.000232
PSO J010.7662+41.6189 1226084 10.76625 41.61885   2.478606  0.000185
PSO J010.3837+41.4633 1240120 10.38368 41.46334   2.252413  0.000418
