Galaxy   Type   mFUV   mFUVhi mFUVlo mNUV   mNUVhi mNUVlo m36    m36hi  m36lo  BTUV  BT36  DTUV  DT36  DT36B DT36D DTFB  DTFV  DTNB  DTND   MBH   MBHlo  MBHhi
NGC1052  E4     16.81  +0.24  -0.24  15.28  +0.24  -0.24  10.05  +0.23  -0.23  0.67  0.72   NA    NA   0.01  NA    0.23  NA    0.23  NA     8.24  -0.29  +0.29
NGC1386  SB0-a  15.79  +0.35  -0.35  14.64  +0.36  -0.36  10.51  +0.32  -0.32  0.26  0.36  0.70  0.58  0.32  0.10  1.54  1.00  1.54  1.00   6.07  -0.29  +0.29
NGC2685  SB0-a  14.66  +0.39  -0.39  14.15  +0.39  -0.39  10.97  +0.36  -0.36  0.36  0.46  0.54  0.41  0.23  0.08  1.82  1.17  1.83  1.18   6.59  -6.59  +0.41
NGC2787  SB0-a  16.66  +0.54  -0.54  14.85  +0.36  -0.36   9.85  +0.35  -0.35  0.39  0.51  0.59  0.45  0.19  0.07  2.32  1.65  2.34  1.66   7.61  -0.09  +0.09
NGC2974  E4     16.98  +0.23  -0.23  15.59  +0.24  -0.24  10.52  +0.22  -0.22  0.49  0.54   NA    NA   0.01  NA    0.44  NA    0.45  0.45   8.23  -0.09  +0.09
NGC3115  E-S0   14.45  +0.36  -0.36  12.71  +0.35  -0.35   8.18  +0.33  -0.33  0.63  0.74  0.37  0.26  0.36  0.13  1.86  1.37  1.87  1.38   8.95  -0.09  +0.09
NGC3368  SBab   13.76  +0.38  -0.38  13.04  +0.38  -0.38   8.79  +0.36  -0.36   NA   0.07  0.92  0.92  0.15  0.05  NA    0.71  NA    0.71   6.88  -0.08  +0.08
NGC3414  SB0    16.39  +0.39  -0.39  15.13  +0.36  -0.36  10.49  +0.34  -0.34  0.57  0.69  0.41  0.29  0.13  0.05  1.36  0.69  1.37  0.69   8.40  -0.07  +0.07
NGC3489  SB0-a  16.01  +0.36  -0.36  14.14  +0.36  -0.36  10.05  +0.33  -0.33  0.23  0.32  0.71  0.58  0.19  0.06  1.38  0.71  1.39  0.71   6.78  -0.05  +0.05
NGC3608  E2     17.58  +0.29  -0.29  15.51  +0.29  -0.29  10.56  +0.27  -0.27  1.00  1.00   NA    NA   0.01  NA    0.17  NA    0.18  NA     8.67  -0.10  +0.10
NGC4203  E-S0   15.55  +0.37  -0.37  14.44  +0.36  -0.36   9.96  +0.33  -0.33  1.0   1.00   NA    NA   0.11  0.04  1.20  NA    1.20  NA     7.82  -0.26  +0.26
NGC4245  SB0-a  16.20  +0.36  -0.36  15.14  +0.37  -0.37  10.99  +0.34  -0.34  0.11  0.18  0.82  0.70  0.13  0.05  1.32  0.64  1.32  0.64   7.19  -7.19  +0.48
NGC4278  E1-2   16.00  +0.24  -0.24  14.99  +0.24  -0.24   9.79  +0.22  -0.22  0.65  0.71   NA    NA   0.01  NA    0.25  NA    0.26  NA     7.96  -0.27  +0.27
NGC4314  SBa    15.16  +0.35  -0.35  14.27  +0.35  -0.35  10.34  +0.34  -0.34  0.08  0.17  0.79  0.57  0.12  0.05  1.32  0.67  1.33  0.67   6.91  -6.91  +0.30
NGC4371  SB0-a  16.90  +0.54  -0.54  15.54  +0.36  -0.36  10.44  +0.32  -0.32  0.16  0.23  0.74  0.62  0.12  0.05  1.41  0.76  1.41  0.76   6.84  -0.07  +0.07
NGC4374  E1     15.77  +0.24  -0.24  14.31  +0.23  -0.23   8.74  +0.22  -0.22  0.60  0.65   NA    NA   0.01  NA    0.35  NA    0.35  NA     8.97  -0.05  +0.05
NGC4472  E2     14.78  +0.21  -0.21  13.60  +0.22  -0.22   7.91  +0.20  -0.20  0.58  0.63   NA    NA   0.01  NA    0.19  NA    0.19  NA     9.40  -0.04  +0.04
NGC4594  Sa     13.35  +0.36  -0.36  11.86  +0.37  -0.37   7.20  +0.35  -0.35  0.49  0.83  0.51  0.17  0.31  0.10  1.84  1.27  1.84  1.28   8.82  -0.05  +0.05
NGC4596  SB0-a  16.72  +0.36  -0.36  15.29  +0.35  -0.35  10.06  +0.32  -0.32  0.13  0.19  0.77  0.65  0.13  0.05  1.32  0.64  1.32  0.65   7.89  -0.26  +0.26
NGC4826  SABa   12.94  +0.36  -0.36  11.90  +0.36  -0.36   7.91  +0.34  -0.34  0.12  0.28  0.87  0.68  0.21  0.07  1.62  0.96  1.63  0.96   6.05  -0.13  +0.13
NGC5018  E3     18.07  +0.63  -0.63  15.32  +0.25  -0.25  10.28  +0.27  -0.27  0.83  0.88   NA    NA   0.02  NA    0.79  NA    0.80  NA     8.02  -0.08  +0.08
NGC5273  S0     17.46  +0.36  -0.36  15.77  +0.36  -0.36  11.24  +0.34  -0.34   NA   0.09  0.99  0.91  0.11  0.04  NA    0.53  NA    0.53   6.61  -0.27  +0.27
NGC5576  E3     17.35  +0.26  -0.26  15.43  +0.24  -0.24  10.42  +0.23  -0.23  0.69  0.74   NA    NA   0.01  NA    0.25  NA    0.26  NA     8.44  -0.13  +0.13
NGC5846  E0-1   16.24  +0.26  -0.26  15.18  +0.25  -0.25   9.46  +0.21  -0.21  0.60  0.65   NA    NA   0.01  NA    0.46  NA    0.46  NA     9.04  -0.06  +0.06
