Galaxy    Morpho     Mpc    Mbh    Mlo    Mhi    Method sigma  serr   MVT      MVB    merr    Rinf  Samp
Circinus   Sb        4.0    1.7e6  1.4e6  2.1e6  maser  158    18    -17.36    NA     NA      6.06   S
IC1459     E4       30.9    2.8e9  1.6e9  3.9e9  stars  340    17    -22.57   -22.57  0.15    0.56   S
MW         Sbc       0.008  4.1e6  3.5e6  4.7e6  stars  105    20     NA       NA     NA     20622   S
N0221      E2        0.86   3.1e6  2.5e6  3.7e6  stars   75     3    -16.83   -16.83  0.05    12.2   RS
N0224      Sb        0.80   1.5e8  1.2e8  2.4e8  stars  160     8    -21.84    NA     NA     113     S
N0821      E4       25.5    4.2e7  3.4e7  7.0e7  stars  209    10    -21.24   -21.24  0.13    0.33   S
N1023      SB0      12.1    4.6e7  4.1e7  5.1e7  stars  205    10    -21.26   -20.61  0.28    0.81   S
N1068      Sb       15.4    8.6e6  8.3e6  8.9e6  maser  151     7    -22.17    NA     NA      22.5   S
N1300      SBbc     20.1    7.1e7  3.6e7  1.4e8  gas    218    10    -21.34    NA     NA      0.65   S
N1399      E1       21.1    5.1e8  4.4e8  5.8e8  stars  337    16    -22.13   -22.13  0.10    1.82   S
N1399      E1       21.1    1.3e9  6.4e8  1.8e9  stars  337    16    -22.13   -22.13  0.10    3.02   S
N2748      Sc       24.9    4.7e7  8.6e6  8.5e7  gas    115     5    -20.97    NA     NA      1.27   S
N2778      E2       24.2    1.6e7  5.8e6  2.5e7  stars  175     8    -19.62   -19.62  0.13    0.45   S
N2787      SB0       7.9    4.3e7  3.8e7  4.7e7  gas    189     9    -18.90    NA     NA      1.09   RS
N3031      Sb        4.1    8.0e7  6.9e7  1.0e8  gas    143     7    -21.51    NA     NA      6.61   S
N3115      S0       10.2    9.6e8  6.7e8  1.5e9  stars  230    11    -21.25   -21.18  0.05    13.1   S
N3227      SBa      17.0    1.5e7  7.0e6  2.0e7  stars  133    12    -20.73    NA     NA      0.52   S
N3245      S0       22.1    2.2e8  1.7e8  2.7e8  gas    205    10    -20.96    NA     NA      1.01   RS
N3377      E6       11.7    1.1e8  1.0e8  2.2e8  stars  145     7    -20.11   -20.11  0.10    4.49   RS
N3379      E0       11.7    1.2e8  6.2e7  2.0e8  stars  206    10    -21.10   -21.10  0.03    2.18   S
N3384      SB0      11.7    1.8e7  1.5e7  1.9e7  stars  143     7    -20.50   -19.93  0.22    0.60   S
N3585      S0       21.2    3.4e8  2.8e8  4.9e8  stars  213    10    -21.88   -21.80  0.20    6.69   RS
N3607      E1       19.9    1.2e8  7.9e7  1.6e8  stars  229    11    -21.62   -21.62  0.10    2.12   RS
N3608      E1       23.0    2.1e8  1.4e8  3.2e8  stars  182     9    -21.05   -21.05  0.10    2.17   RS
N3998      S0       14.9    2.4e8  6.2e7  4.5e8  gas    305    15    -20.32    NA     NA      1.52   S
N4026      S0       15.6    2.1e8  1.7e8  2.8e8  stars  180     9    -20.28   -19.83  0.20    7.72   RS
N4258      SBbc      7.2    3.78e7 3.77e7 3.79e7 maser  115    10    -21.31    NA     NA      64.5   RS
N4261      E2       33.4    5.5e8  4.3e8  6.6e8  gas    315    15    -22.72   -22.72  0.06    0.76   RS
N4291      E2       25.0    3.2e8  8.3e7  4.1e8  stars  242    12    -20.67   -20.67  0.13    1.41   RS
N4342      S0       18.0    3.6e8  2.4e8  5.6e8  stars  225    11    -18.84    NA     NA      0.35   RS
N4374      E1       17.0    1.5e9  9.0e8  2.6e9  gas    296    14    -22.45   -22.45  0.05    9.89   S
N4459      E2       17.0    7.4e7  6.0e7  8.8e7  gas    167     8    -21.06   -21.06  0.04    1.34   S
N4473      E4       17.0    1.3e8  3.6e7  1.8e8  stars  190     9    -21.14   -21.14  0.04    2.11   RS
N4486      E1       17.0    3.6e9  2.6e9  4.6e9  gas    375    18    -22.92   -22.92  0.04    6.43   RS
N4486      E2       17.0    1.3e7  9.0e6  1.8e7  stars  111     5    -18.70   -18.70  0.05    3.74   S
N4564      S0       17.0    6.9e7  5.9e7  7.3e7  stars  162     8    -20.10   -19.60  0.32    1.46   RS
N4594      Sa       10.3    5.7e8  1.7e8  1.1e9  stars  240    12    -22.52   -22.44  0.15    8.48   S
N4596      SB0      18.0    8.4e7  5.9e7  1.2e8  gas    136     6    -20.70    NA     NA      1.86   RS
N4649      E2       16.5    2.1e9  1.5e9  2.6e9  stars  385    19    -22.65   -22.65  0.05    10.2   RS
N4697      E6       12.4    2.0e8  1.8e8  2.2e8  stars  177     8    -21.29   -21.29  0.11    4.63   RS
N5077      E3       44.9    8.0e8  4.7e8  1.3e9  gas    222    11    -22.04   -22.04  0.13    2.45   RS
N5128      ES0       4.4    3.0e8  2.8e8  3.4e8  stars  150     7    -21.82   -21.82  0.08    42.4   S
N5128      ES0       4.4    7.0e7  3.2e7  8.3e7  stars  150     7    -21.82   -21.82  0.08    42.4   S
N5576      E3       27.1    1.8e8  1.4e8  2.1e8  stars  183     9    -21.26   -21.26  0.13    3.55   S
N5845      E3       28.7    2.9e8  1.2e8  3.4e8  stars  234    11    -19.77   -19.77  0.13    1.65   S
N6251      E1      106.0    6.0e8  4.0e8  8.0e8  gas    290    14     NA       NA     NA      0.52   S
N7052      E3       70.9    4.0e8  2.4e8  6.8e8  gas    266    13     NA       NA     NA      0.65   S
N7457      S0       14.0    4.1e6  2.4e6  5.3e6  stars   67     3     19.80   -18.72  0.11    0.53   S
N7582      SBab     22.3    5.5e7  4.4e7  7.1e7  gas    156    19     21.51    NA     NA      0.22   S
A1836-BCG  E       157.5    3.9e9  3.3e9  4.3e9  gas    288    14     23.31   -23.31  0.15    2.63   S
A3565-BCG  E        54.4    5.2e8  4.4e8  6.0e8  gas    322    16     23.27   -23.27  0.15    0.81   S
