z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.137869      7.416077      43.284900      -1.271697      2.387000      2.000000      0.874629      -0.214778      2.311724      147.87930850      -0.50880000      51608      0267      227
0.133673      7.335395      43.275700      -1.200215      3.235000      4.000000      0.920822      -1.213670      2.436077      150.29382720      -0.68032760      51633      0268      002
0.351495      8.244104      44.336100      -1.048524      3.054000      4.000000      0.829284      -1.306733      2.687369      219.87302100      -0.18848130      51663      0307      156
0.242869      7.819957      43.994200      -0.966277      2.986000      3.500000      0.821605      -1.102159      2.496604      220.69822150      0.92552350       51663      0307      615
0.200721      7.696561      43.661800      -1.175282      2.515000      4.500000      0.742986      -1.698164      2.547185      235.10458630      0.00686190       51663      0315      172
0.216754      7.905189      43.922100      -1.123610      2.452000      5.000000      0.906839      -1.327684      2.497467      234.78115500      -0.05995420      51663      0315      199
0.246321      8.040965      43.971500      -1.209986      2.930000      2.000000      0.735978      0.558271       2.668309      227.85728810      -0.23339380      51665      0311      148
0.230545      7.675570      43.864800      -0.951290      2.712000      4.500000      0.545616      -0.908238      2.454142      227.37779440      0.15183170       51665      0311      278
0.271420      7.789961      44.088800      -0.841682      3.026000      4.000000      0.718133      -0.564111      2.591053      204.14693720      -0.35184210      51671      0299      310
0.243795      8.494023      44.054700      -1.579844      2.594000      2.000000      0.903135      -0.091817      2.697709      230.00866000      0.78096180       51673      0313      350
0.092429      7.335383      43.347000      -1.128904      2.474000      2.000000      0.550154      1.701743       2.566270      229.07020780      0.13454690       51689      0312      426
0.280869      8.213483      44.199700      -1.154303      2.608000      2.000000      0.735561      0.757335       2.846996      236.10862090      0.15657060       51691      0342      391
0.314851      7.927784      44.269100      -0.799205      3.337000      3.000000      0.838063      0.016079       2.722535      236.55514680      0.61017240       51691      0342      422
0.254873      7.934468      43.885500      -1.189489      2.865000      3.500000      0.909236      0.457819       2.565217      257.06397360      64.52705370      51691      0350      277
0.180743      7.363371      43.447700      -1.056191      2.874000      2.500000      0.855223      1.915958       2.643113      258.56648280      65.80310430      51691      0350      406
0.106008      7.080354      43.360300      -0.860574      2.955000      3.000000      0.804751      0.550556       2.419659      253.55048240      62.89560110      51699      0349      216
0.284746      7.632973      43.952500      -0.820993      3.010000      2.500000      0.885895      0.167896       2.574174      253.33581980      61.71510550      51699      0349      610
0.220430      7.900453      43.867400      -1.173574      2.876000      3.000000      0.893937      -0.065049      2.414441      7.98923560        0.31057390       51782      0391      590
0.166434      7.515093      43.549200      -1.106413      2.991000      3.000000      0.730876      0.250401       2.347701      358.55483330      0.91648850       51788      0386      614
0.124390      7.745263      43.427500      -1.458283      2.707000      2.500000      0.843214      1.306232       2.382436      25.04403510       -0.00047630      51788      0401      231
0.053470      7.224850      42.894100      -1.471270      3.202000      3.500000      0.898822      0.157984       2.388773      257.41232760      63.10967670      51789      0352      303
0.154629      7.048524      43.412400      -0.776645      2.913000      3.000000      0.811667      -0.195603      2.331311      261.06496340      60.63779340      51792      0354      198
0.054198      7.542544      43.092000      -1.591065      2.057000      2.000000      0.830668      2.629030       2.428951      258.69811010      61.63522480      51792      0354      338
0.121064      7.672089      43.577300      -1.235310      2.800000      4.000000      0.804735      -0.231195      2.406704      9.24910070        1.09566240       51793      0392      580
0.256405      7.747653      43.842000      -1.046174      2.794000      2.000000      0.932753      0.049059       2.516476      27.62945300       0.94358060       51793      0402      420
0.119012      7.578143      43.499200      -1.219463      2.430000      2.000000      0.417594      2.545857       2.532836      11.03777110       1.19212650       51794      0393      459
0.196166      7.945181      43.573000      -1.512701      2.336000      3.500000      0.971934      0.568316       2.370984      17.18217290       -0.31669330      51794      0397      310
0.072546      7.187789      43.183800      -1.144510      3.297000      3.500000      0.576990      0.511140       2.429119      4.76336580        0.11627830       51795      0389      635
0.276973      8.514210      44.116200      -1.538531      1.904000      2.500000      0.700847      1.728407       2.579748      113.83832460      37.86725260      51811      0416      202
0.328475      8.119839      44.445700      -0.814660      2.965000      3.500000      0.851128      -1.159435      2.601367      55.67219190       0.22868230       51811      0416      580
0.172854      7.430098      43.868100      -0.702519      3.205000      1.500000      0.893044      2.545927       3.056819      31.98138110       -0.78844750      51812      0404      073
0.297477      7.885377      44.207300      -0.818598      2.496000      3.500000      0.881197      0.240567       2.487005      262.65946110      55.00470700      51816      0382      190
0.203407      7.657511      43.747900      -1.050132      2.846000      3.000000      0.897023      -0.896513      2.352609      16.01640610       0.64032590       51816      0396      494
0.289245      7.971362      44.160000      -0.951883      2.622000      2.000000      0.878210      0.023939       2.587641      16.31036100       0.04061830       51816      0405      600
0.216724      7.534048      43.882000      -0.792569      2.812000      3.500000      0.948417      -1.082322      2.519314      34.38202490       0.59313520       51817      0399      261
0.246922      7.779478      43.998200      -0.921799      2.713000      3.000000      0.922465      -0.091600      2.393862      20.52778700       -0.51216450      51818      0358      283
0.065843      7.581296      43.222600      -1.499216      2.647000      3.000000      0.585777      0.393560       2.435094      261.78728200      55.80977740      51818      0358      328
0.148475      7.360157      43.416200      -1.084478      2.821000      4.000000      0.564162      0.057037       2.888959      351.03486300      0.35525170       51818      0383      493
0.267900      8.061231      44.170100      -1.031651      2.618000      2.500000      0.866616      0.718111       2.719921      26.00024330       13.20871430      51821      0408      067
0.325218      8.823464      44.490500      -1.473485      2.911000      3.500000      0.950929      -1.032737      2.622460      14.40714550       14.71649560      51821      0423      551
0.385365      8.487416      44.523100      -1.104837      2.884000      4.000000      0.868805      -1.003076      2.543534      35.22607510       -0.55261330      51871      0403      335
0.311736      8.025789      44.271900      -0.894410      2.617000      3.000000      0.950774      -0.668211      2.531693      28.71419340       0.99240150       51871      0403      549
0.299424      8.015135      44.251900      -0.903756      3.126000      3.000000      0.761952      -0.160094      2.670529      29.99015180       0.55287890       51871      0409      345
0.181791      7.589745      43.573400      -1.156866      2.855000      2.000000      0.537289      0.263296       2.535302      41.28623880       0.61965990       51871      0420      180
0.278403      7.873482      44.018000      -0.996003      2.371000      3.000000      0.921111      -0.750913      2.603121      13.28891520       14.63990680      51871      0420      225
