   z        logMg        logMgHi      logMgLo
1.50499    10.891419    10.952218    10.832915
1.51122    10.890992    10.952003    10.832392
1.99751    10.862537    10.936621    10.794879
2.00998    10.862061    10.936292    10.794098
2.01621    10.861831    10.936128    10.793714
2.49002    10.810084    10.885962    10.725511
2.50249    10.806292    10.882409    10.721176
3.00748    10.644896    10.734993    10.555376
3.01372    10.644406    10.734657    10.554800
3.74938    10.696388    10.798912    10.603001
3.75561    10.696576    10.799178    10.603186
4.49127    10.638554    10.794826    10.488463
4.50374    10.637593    10.796040    10.485190
5.48878    10.619204    11.024696    10.212478
5.49501    10.619233    11.026476    10.210717
5.50125    10.619263    11.028256    10.208956
