    x1      Curve1
-38.8985      0.10124
-38.0723     -0.25000
-36.9707      0.04752
-35.9380      0.19008
-34.7676      0.01860
-33.6661     -0.02479
-32.5645     -0.03512
-31.4630      0.02066
-30.4303     -0.21074
-29.3287     -0.08471
-28.1583      0.11364
-27.1256      0.23760
-26.0241      0.00620
-24.8537     -0.08678
-23.8210     -0.14050
-22.7194      0.02479
-21.4802     -0.10124
-20.5852      0.40702
-19.2771      0.24380
-18.2444     -0.31612
-17.2806     -0.13017
-16.0413     -0.26446
-14.8709     -0.11570
-13.9071      0.25826
-12.7367     -0.20248
-11.6351      0.14256
-10.6024      0.26033
-9.4320      -0.09711
-8.3305       0.16116
-7.2978       0.09917
-6.0585       0.09091
-5.0258      -0.43182
-3.9243      -0.93802
-2.9604      -0.91116
-1.7212      -0.92562
-0.6885      -0.85124
 0.4819      -0.70868
 1.7212      -0.29545
 2.6162       0.08264
 3.7177      -0.06198
 4.8881      -0.30165
 6.0585      -0.03512
 6.9535       0.16736
 8.0551      -0.08264
 9.1566      -0.05372
10.3270      -0.04959
11.3597       0.15909
12.4613       0.10537
13.5628      -0.02479
14.8021       0.16116
15.9036      -0.14256
16.8675      -0.12603
18.1067      -0.29132
19.1394      -0.10950
20.1033       0.15496
21.3425       0.09711
22.3752       0.13430
23.5456      -0.14876
24.5095       0.34091
25.7487       0.19008
26.8503      -0.16322
27.9518      -0.27686
28.9157      -0.07851
30.0172       0.03306
31.3253      -0.22314
32.3580       0.43595
33.3907      -0.19835
34.4234       0.12810
35.6627      -0.04339
36.6954       0.09504
37.8657      -0.20041
38.8296       0.08264
