       Wave            Flux
       3194.7862       8.8413445
       3195.5219       9.0182450
       3196.2578       8.8536252
       3196.9939       8.6677610
       3197.7301       8.6760975
       3198.4666       8.4959361
       3199.2031       8.0644730
       3199.9399       7.9143560
       3200.6768       7.7190574
       3201.4139       7.5505342
       3202.1511       12.373645
       3202.8886       5.6395012
       3203.6262      -3.5732049
       3204.3639      -1.7330762
       3205.1019    -0.018082057
       3205.8400      -6.4219513
       3206.5782      -5.4859483
       3207.3167      -7.5310925
       3208.0553      -6.8149864
       3208.7941      0.46567424
       3209.5330       12.329325
       3210.2722       9.4863030
       3211.0114       8.0891230
       3211.7509       8.5701536
       3212.4905      -15.874050
       3213.2304       9.6899006
       3213.9703       9.6067800
       3214.7105      -3.7603065
       3215.4508      -1.1881749
       3216.1913      -2.4448798
       3216.9319      -2.7173028
       3217.6728      -4.0197294
       3218.4138      -8.4889412
       3219.1549      -4.9291827
       3219.8963     -0.40478431
       3220.6378      -8.9746983
       3221.3795      -5.1808772
       3222.1213      -2.3863296
       3222.8633       1.7650013
       3223.6055       2.9816053
       3224.3479      -3.2574413
       3225.0904       3.1238651
       3225.8331       6.9239291
       3226.5760      -9.5925521
       3227.3191       6.0754930
       3228.0623      -4.6292359
       3228.8057       3.8072507
       3229.5492      -1.6443250
       3230.2930       3.9818927
       3231.0369      0.43339964
       3231.7810      -4.4963149
       3232.5252      -3.1612625
       3233.2696     0.055011563
       3234.0142       9.3975092
       3234.7590      -3.8839625
       3235.5039       8.8211237
       3236.2490       5.9592897
       3236.9943      -1.2054598
       3237.7397       2.3496885
       3238.4854       6.8147012
       3239.2312       1.5853591
       3239.9771       1.9834564
       3240.7233       11.188146
       3241.4696       2.4772805
       3242.2160      -1.0639502
       3242.9627      -1.3604555
       3243.7095      -3.6454264
       3244.4565       3.9189586
       3245.2037       3.6981247
       3245.9510       3.0685479
       3246.6985       2.3817031
       3247.4462     0.098107755
       3248.1941     -0.59857070
       3248.9421      -8.3966915
       3249.6903      -11.249461
       3250.4387       7.1308995
       3251.1872      -3.0249057
       3251.9359      -4.9004988
       3252.6848      -4.6966092
       3253.4339       6.4201503
       3254.1831       9.6760698
       3254.9325     -0.40815970
       3255.6821       3.2834662
       3256.4318      -6.7354888
       3257.1818      -3.4381117
       3257.9319      -9.7103675
       3258.6821      -5.8586463
       3259.4326       12.129822
       3260.1832       16.428950
       3260.9340       4.2447003
       3261.6849      -3.4370521
       3262.4361       1.5816035
       3263.1874       4.2381489
       3263.9389       1.8879414
       3264.6905       13.893024
       3265.4423      -4.0657983
       3266.1943       12.083760
       3266.9465      0.49844899
       3267.6989     -0.95888869
       3268.4514      0.14102829
       3269.2041      -3.8940194
       3269.9569      -1.7638581
       3270.7100      -5.8460744
       3271.4632      -5.3440775
       3272.2166      -7.3850354
       3272.9701      0.93642415
       3273.7239       4.1961528
       3274.4778      -5.9829184
       3275.2319      -7.7679801
       3275.9861      -4.1788645
       3276.7405      0.61093383
       3277.4951       4.5651983
       3278.2499       1.1810324
       3279.0049       5.4324486
       3279.7600       1.4425890
       3280.5153      -1.7150987
       3281.2707      -5.7098366
       3282.0264      -3.7033201
       3282.7822      -1.7015710
       3283.5382      -4.9190639
       3284.2944      -1.5699222
       3285.0507       5.5497609
       3285.8072     -0.22223158
       3286.5639       2.9789277
       3287.3208      -6.3308039
       3288.0778      -1.6964794
       3288.8350      -1.8128335
       3289.5924      -2.1985871
       3290.3500       5.2418836
       3291.1077       5.1743957
       3291.8656      0.32270872
       3292.6237       2.2299560
       3293.3820      -1.7706430
       3294.1404      -3.7046769
       3294.8990       10.376099
       3295.6578      -3.4555913
       3296.4167      0.11360977
       3297.1759       2.8883887
       3297.9352       4.9505781
       3298.6947      -3.6939436
       3299.4543      -8.8932917
       3300.2141       5.6831654
       3300.9742       6.6026449
       3301.7343      -4.7103948
       3302.4947       12.821705
       3303.2552      -1.0704251
       3304.0159       4.2834296
       3304.7768       3.6702581
       3305.5379      -2.4757711
       3306.2991     -0.88422271
       3307.0605       1.2964956
       3307.8221     -0.31928764
       3308.5838       4.1135080
       3309.3458       2.2086867
       3310.1079      -8.3596267
       3310.8702      -2.6097786
       3311.6326      0.59595730
       3312.3953       2.8583015
       3313.1581      -2.3614829
       3313.9211      -9.3983906
       3314.6842      -4.9408441
       3315.4476       5.3316594
       3316.2111       3.2264105
       3316.9748      -3.1215520
       3317.7386       1.8731491
       3318.5027       2.3980675
       3319.2669       2.3245901
       3320.0313       4.1598319
       3320.7959      -2.3273193
       3321.5606      -4.8987109
       3322.3255       1.8417005
       3323.0906       3.0654844
       3323.8559      -1.1391998
       3324.6214      -1.9819936
       3325.3870      -6.0588299
       3326.1528      -10.412199
       3326.9188      -6.0114905
       3327.6849      -4.9440079
       3328.4513      -9.7830948
       3329.2178       1.5670986
       3329.9844       12.246239
       3330.7513      -1.9429683
       3331.5183      -10.560970
       3332.2856       1.9747829
       3333.0530      -8.2015271
       3333.8205      -5.5915961
       3334.5883       1.5647865
       3335.3562    -0.043473620
       3336.1243      -3.7145640
       3336.8926       2.1520110
       3337.6610       3.8994809
       3338.4296      -1.3845559
       3339.1985       5.3966934
       3339.9674      0.92470696
       3340.7366      -3.7236524
       3341.5059      -6.3331320
       3342.2755       9.1961402
       3343.0451       4.9948735
       3343.8150      -2.7539134
       3344.5851       1.3662717
       3345.3553       3.2808907
       3346.1257      0.96799778
       3346.8963       5.2010988
       3347.6670       2.2771299
       3348.4380      -2.3751927
       3349.2091    -0.040741441
       3349.9804      0.45699109
       3350.7518       2.0104366
       3351.5235       2.1589915
       3352.2953       2.5270910
       3353.0673       1.4442675
       3353.8395       3.1987690
       3354.6118       8.5643853
       3355.3844       1.9305346
       3356.1571       3.8450211
       3356.9300      -3.4816940
       3357.7030       3.0619192
       3358.4763       2.0836205
