SiII1260     data
-298.174     0.60161
-295.253     0.80564
-291.601     0.80562
-287.949     0.91855
-285.393     0.83473
-282.106     0.82378
-278.454     0.88570
-274.802     0.91118
-272.611     0.89659
-269.324     0.83099
-266.038     0.91113
-263.481     0.93662
-260.195     0.89652
-255.447     0.67787
-253.256     0.65599
-248.509     0.94382
-246.318     1.04218
-243.396     1.05310
-239.744     1.07129
-237.188     0.87452
-233.901     0.85628
-230.250     1.11860
-226.598     0.80158
-224.041     0.77606
-220.755     1.16592
-216.738     0.76873
-212.355     0.75412
-211.260     1.12942
-206.147     0.95085
-203.956     0.93990
-200.304     1.28968
-196.652     1.06010
-194.096     1.04915
-190.809     1.36978
-187.523     0.72118
-182.775     0.69200
-180.584     1.20211
-176.932     1.18387
-174.376     1.16928
-170.724     1.15104
-167.438     0.97612
-164.151     0.95059
-161.595     0.97244
-158.308     0.94691
-154.291     0.93960
-152.100     0.77198
-148.083     0.77924
-144.796     0.79015
-143.335     1.14723
-138.588     1.26015
-134.936     1.28928
-131.284     0.99047
-127.998     1.22365
-125.441     1.22728
-121.059     1.08879
-118.138     0.90659
-116.312     0.88836
-112.660     0.98307
-109.008     1.04135
-106.452     1.06684
-101.704     0.65507
-97.687      0.84088
-95.131      0.88094
-93.305      1.19429
-90.018      1.34366
-87.097      1.36551
-81.619      0.97924
-77.967      0.80796
-76.141      0.78973
-72.489      0.93546
-69.933      0.99374
-67.012      1.01923
-64.090      1.06658
-60.073      1.31433
-56.421      1.34710
-53.135      1.15761
-50.943      0.84788
-47.292      0.82964
-43.274      0.95350
-40.353      1.22312
-37.432      1.25225
-33.780      1.01539
-30.493      0.92427
-27.206      0.90968
-23.920      0.97889
-20.998      1.01895
-18.442      1.04080
-14.790      1.26305
-11.138      0.82213
-6.3910      0.77838
-4.9300      0.73829
-0.1830      0.52328
2.73900      0.49411
4.93000      0.71272
7.85100      0.75643
8.21700      0.95319
10.4080      1.07342
15.1550      1.01873
17.7120      0.95678
20.6330      0.89481
25.0150      0.87293
28.3020      0.92392
31.5890      0.94940
34.1450      0.98218
39.2570      0.93478
43.6400      0.86552
47.6570      0.94566
49.8480      1.43755
54.2300      1.05129
57.8820      0.94196
60.0730      0.92372
64.4550      1.13868
68.4720      0.92003
71.3940      0.90544
73.9500      0.99651
76.5060      0.96371
80.8890      0.94910
83.0800      1.08391
87.4620      1.17862
91.8440      1.19681
94.4000      1.12756
97.3220      0.88706
100.243      0.88340
103.530      1.12387
108.278      0.94894
110.103      0.93071
113.390      0.81044
116.312      0.95618
118.503      0.98531
121.789      1.08003
126.172      0.76664
129.823      0.73018
132.015      0.84677
135.666      1.09816
138.223      1.12730
142.605      0.91229
146.257      0.98514
150.274      1.01063
152.100      1.06163
154.656      1.09805
156.847      1.11261
161.229      0.92311
165.247      1.15264
168.533      1.19270
172.550      0.99227
175.107      0.94124
178.758      0.92300
180.219      1.18534
184.601      1.01406
187.158      0.98490
190.444      0.85370
194.827      0.82088
199.209      0.82086
201.400      0.98117
204.687      1.14876
207.608      1.18153
211.260      0.97746
214.547      0.93007
217.833      0.92277
220.024      1.15231
222.946      0.9118
225.502      0.89357
229.884      0.98828
234.267      0.88987
236.823      0.87893
239.379      0.83519
243.761      1.15945
245.953      1.19952
249.604      0.90800
254.352      0.78773
257.638      0.77678
258.734      1.00632
262.386      0.95893
266.768      0.95162
268.959      1.06456
272.976      0.76939
276.263      0.72929
279.184      0.78758
281.741      0.81671
283.201      0.90051
286.123      0.91871
288.314      1.03529
290.870      1.06078
291.966      1.21381
293.792      1.24295
297.809      0.98058
