CII1335     data
-298.050    0.96962
-294.791    1.07892
-290.440    1.19184
-286.795    1.19547
-283.863    1.11529
-281.254    0.83470
-277.974    0.83468
-274.332    0.85288
-271.821    1.05327
-268.905    1.05325
-265.272    1.11517
-260.881    1.03134
-258.694    1.03133
-255.036    0.96936
-252.149    1.11145
-248.868    1.11143
-245.557    0.95837
-241.534    0.89641
-238.254    0.89639
-236.092    1.02026
-232.409    0.83441
-228.764    0.83803
-226.249    1.01656
-221.814    0.71774
-220.076    1.13312
-216.066    1.13309
-212.020    0.95453
-208.038    1.08932
-205.122    1.09295
-201.805    0.91438
-198.556    1.07104
-196.371    1.07832
-192.340    0.97627
-187.954    0.91794
-185.767    0.91793
-182.478    0.87783
-179.550    0.81587
-175.175    0.81584
-173.377    0.93607
-169.740    0.97613
-166.824    0.97611
-163.931    1.09270
-160.218    0.75745
-156.573    0.75743
-154.071    1.00154
-151.212    1.28574
-147.932    1.28936
-143.121    0.93225
-140.581    0.99053
-137.666    0.99416
-133.287    0.97227
-129.994    0.91030
-127.442    0.91029
-124.547    1.01229
-120.896    0.98677
-116.886    0.98310
-114.352    1.07053
-112.190    1.19441
-108.909    1.19439
-104.145    1.07047
-101.582    1.01216
-99.029     1.00485
-94.624     0.85179
-91.730     0.96473
-89.202     1.07767
-84.827     1.07764
-81.158     0.95738
-76.762     0.85168
-74.211     0.85167
-72.058     1.02291
-67.667     0.93907
-64.386     0.93905
-62.214     1.01192
-59.300     1.02283
-55.652     1.00823
-51.631     0.95355
-47.240     0.86972
-44.324     0.87335
-42.162     0.99358
-39.253     1.03000
-35.244     1.03361
-33.048     0.98988
-29.411     1.02994
-27.225     1.03721
-23.250     1.20844
-19.885     0.79304
-15.873     0.77844
-13.300     0.67640
-10.746     0.66181
-6.7340     0.65449
-3.0500     0.46135
 0.219      0.51963
 3.133      0.53055
 6.351      0.83660
 9.620      0.89488
12.170      0.90580
16.937      0.76731
19.439      1.00778
21.255      1.04420
25.644      0.97130
30.048      0.82188
34.036      0.93117
37.316      0.93479
40.591      0.96028
43.521      0.89103
47.899      0.87279
48.593      1.04768
52.640      0.86547
55.923      0.85452
59.558      0.90187
63.196      0.93828
65.745      0.94920
67.916      1.02934
74.126      0.96736
76.313      0.96735
79.182      1.20053
82.504      0.99282
85.421      0.98916
88.349      0.93084
92.719      0.95268
95.271      0.95266
98.576      0.83240
102.189     0.99270
104.006     1.01819
108.767     0.90885
111.671     0.96714
114.585     0.98169
116.389     1.06913
122.258     0.89055
124.084     0.87232
126.989     0.92696
131.015     0.84678
133.567     0.84676
137.575     0.85402
142.303     0.90865
144.849     0.93414
147.726     1.13088
151.038     0.97418
153.977     0.86121
156.897     0.84297
159.472     0.72636
164.907     0.89029
167.454     0.91214
171.842     0.84288
173.648     0.92668
176.198     0.93395
180.200     0.97401
183.459     1.07966
186.005     1.10515
190.423     0.89014
192.965     0.93749
196.242     0.95569
199.141     1.03948
202.797     0.98844
206.081     0.97385
209.383     0.86452
213.358     1.03575
217.728     1.06123
221.008     1.06485
223.206     1.00654
225.761     0.99195
227.954     0.96279
232.336     0.92268
235.619     0.91173
237.422     1.01010
243.264     0.96269
247.277     0.94809
249.113     0.87885
252.023     0.90798
255.300     0.92618
258.581     0.92616
261.875     0.86056
266.251     0.85324
267.314     1.00263
270.942     1.09006
275.698     1.00258
279.347     0.98434
281.190     0.88230
285.941     0.82397
289.225     0.80938
291.032     0.88588
294.288     1.00611
298.294     1.02430
