CIV1548   data
-298.922   0.85698
-294.161   0.87840
-289.638   0.85695
-279.639   0.85302
-277.259   0.87640
-275.354   0.91536
-271.784   0.91145
-269.641   0.87443
-263.690   0.87051
-261.071   0.90168
-259.643   0.94064
-254.167   0.95816
-248.930   0.94061
-247.740   0.89579
-245.836   0.85487
-241.789   0.85486
-237.980   0.88213
-234.409   0.90939
-228.934   0.92496
-226.315   0.88794
-220.840   0.87428
-215.841   0.88596
-212.746   0.91323
-210.841   0.96972
-207.271   0.94633
-203.224   0.92294
-200.843   0.88786
-197.986   0.85278
-196.082   0.81381
-193.940   0.85472
-191.797   0.89173
-187.274   0.92094
-185.370   0.96185
-183.227   1.00082
-179.656   0.98912
-177.752   0.95014
-176.323   0.90727
-173.467   0.81569
-167.992   0.82347
-165.373   0.87607
-163.707   0.91698
-159.898   0.94035
-156.803   0.97346
-151.566   0.95786
-147.757   0.92862
-144.900   0.89354
-141.091   0.87015
-137.282   0.84676
-134.426   0.87987
-130.379   0.86817
-128.474   0.83115
-124.666   0.85451
-120.143   0.87009
-114.429   0.87786
-108.954   0.88759
-104.193   0.87783
 -98.956   0.86418
 -95.623   0.83689
 -92.290   0.81350
 -88.957   0.84467
 -83.958   0.86219
 -79.911   0.88750
 -79.435   0.90699
 -74.674   0.89139
 -70.151   0.86994
 -66.342   0.84460
 -63.962   0.84654
 -62.295   0.88940
 -58.486   0.90887
 -56.820   0.86990
 -54.915   0.82898
 -52.297   0.79390
 -48.250   0.78999
 -46.107   0.83090
 -43.727   0.82115
 -40.156   0.79581
 -34.443   0.80164
 -28.968   0.81332
 -26.111   0.78018
 -24.206   0.74121
 -22.778   0.70224
 -18.969   0.67885
 -18.731   0.63014
 -16.827   0.52882
 -14.684   0.49179
 -12.780   0.41580
  -9.209   0.38656
  -7.066   0.35343
  -5.400   0.31251
  -3.020   0.20729
   0.789   0.18585
   2.932   0.14688
   7.693   0.15660
  12.930   0.14879
  15.549   0.11177
  17.929   0.07084
  20.548   0.09422
  22.452   0.16825
  27.690   0.18187
  30.308   0.22083
  31.975   0.25980
  33.879   0.30265
  35.307   0.34551
  36.260   0.39422
  40.068   0.37473
  43.639   0.34354
  44.353   0.29288
  46.020   0.25001
  47.686   0.20909
  49.353   0.17012
  51.971   0.13894
  53.876   0.17595
  55.780   0.21686
  58.161   0.25582
  60.303   0.29089
  62.446   0.32985
  63.636   0.37466
  65.302   0.41362
  67.683   0.50908
  69.825   0.54609
  73.634   0.61817
  75.301   0.65714
  79.347   0.68050
  84.823   0.69413
  88.870   0.72334
  92.679   0.71943
  94.107   0.67656
  95.059   0.63175
  98.630   0.60056
 102.677   0.57717
 102.915   0.53041
 104.819   0.48949
 106.724   0.46805
 111.009   0.49142
 112.437   0.53038
 113.865   0.57129
 114.580   0.61805
 116.246   0.65702
 116.484   0.70572
 118.150   0.74469
 118.627   0.79339
 124.578   0.79533
 126.482   0.83624
 128.387   0.87520
 132.196   0.85570
 134.100   0.81673
 136.005   0.77776
 138.147   0.73878
 141.956   0.74851
 145.289   0.77968
 147.907   0.74265
 151.478   0.71926
 153.859   0.68028
 156.477   0.69197
 160.286   0.71534
 165.523   0.72701
 169.094   0.73479
 171.237   0.77376
 172.903   0.81272
 175.760   0.78154
 178.378   0.75035
 183.854   0.76398
 186.472   0.79709
 189.329   0.85943
 193.138   0.88475
 196.470   0.85551
 199.565   0.83602
 204.564   0.83600
 206.945   0.79703
 210.754   0.82430
 214.563   0.80675
 218.133   0.77556
 223.609   0.76581
 227.418   0.79502
 230.036   0.75994
 233.131   0.73266
 238.368   0.74823
 243.605   0.74042
 246.224   0.70144
 248.128   0.73846
 250.033   0.77742
 255.508   0.76766
 259.555   0.78908
 264.554   0.80465
 268.839   0.82997
 273.124   0.85139
 276.933   0.87476
 279.314   0.90592
 284.551   0.92344
 287.169   0.90006
 290.740   0.87277
 292.883   0.83574
 296.930   0.84352
