CIV1551     data	
-122.876	0.988
-118.023	0.970
-113.171	0.863
-108.296	1.023
-103.432	0.986
-98.580	1.058
-93.727	1.021
-88.875	1.022
-84.023	0.914
-79.147	1.069
-74.295	0.949
-69.443	1.065
-64.591	0.965
-59.739	0.952
-54.886	1.082
-50.034	1.020
-45.147	0.882
-40.295	0.913
-35.443	0.932
-30.590	0.907
-25.738	0.870
-20.886	0.914
-16.034	0.721
-11.146	0.550
-6.294	0.440
-1.442	0.463
3.410	0.267
8.262	0.265
13.115	0.289
17.967	0.200
22.819	0.208
27.695	0.363
32.547	0.568
37.399	0.602
42.251	0.487
47.115	0.445
51.967	0.406
56.819	0.327
61.695	0.576
66.547	0.747
71.399	0.867
76.252	0.874
81.104	0.923
85.956	0.936
90.808	0.948
95.660	0.970
100.513	0.920
105.400	0.941
110.252	0.955
115.104	0.901
119.956	1.033
124.809	0.838
129.661	0.877
134.513	0.968
139.365	0.962
144.217	1.043
149.105	1.025
153.957	0.967
158.809	0.952
163.661	0.949
168.513	1.036
173.366	1.068
178.218	0.953
183.070	1.012
187.922	0.899
192.798	1.006
197.650	1.055
202.514	0.933
207.366	0.935
212.218	1.039
217.070	1.057
221.923	0.970
226.775	1.033
