Name      RA(J2000)  Dec(J2000)  V   E(B-V) NH1   NH2   fH2   F*    Wrat  v.ism   Source
HD15137   022759.81  +523257.6  7.86  0.24  1.29  1.86  0.22  0.37  0.30  -9.58   ELODIE
HD22951   034222.65  +335754.1  4.98  0.19  1.10  2.88  0.35  0.73  0.35  12.47   ELODIE 
HD23180   034419.13  +321717.7  3.86  0.22  0.76  3.98  0.51  0.84  0.65  13.45   ELODIE 
HD23630   034729.08  +240618.5  2.87  0.05  0.22  0.35  0.28  0.89  0.16  16.76   ELODIE 
HD24398   035407.92  +315301.1  2.88  0.27  0.63  4.68  0.59  0.88  0.55  14.54   ELODIE 
HD24534   035523.08  +310245.0  6.10  0.31  0.54  8.32  0.76  0.90  0.62  14.50   ELODIE 
HD24760   035751.23  +400036.8  2.90  0.07  0.25  0.33  0.21  0.68  0.18   7.06   ELODIE 
HD24912   035857.90  +354727.7  4.04  0.26  1.29  3.39  0.35  0.83  0.26  11.20   ELODIE 
HD27778   042359.76  +241803.6  6.33  0.34  0.22  5.25  0.82  1.19  0.43  15.22   ELODIE 
HD35149   052250.00  +033240.0  5.00  0.08  0.43  0.03  0.02  0.54  0.20  24.09   UVES 
HD35715   052650.23  +030544.4  4.60  0.03  0.31  0.00  0.00  0.66  0.10  25.20   ELODIE 
HD36822   053449.24  +092922.5  4.40  0.07  0.65  0.21  0.06  0.74  0.19  25.53   ELODIE 
HD36861   053508.28  +095603.0  3.30  0.10  0.60  0.13  0.04  0.57  0.48  25.20   ELODIE 
HD40111   055759.66  +255714.1  4.82  0.10  0.79  0.54  0.12  0.49  0.20  15.29   ELODIE 
HD110432  124250.27  −630331.0  5.32  0.39  0.71  4.37  0.55  1.17  0.25   6.80  UVES 
HD143275  160020.01  −223718.1  2.29  0.00  1.41  0.26  0.03  0.90  0.19  -10.90  UVES 
HD144217  160526.23  −194819.6  2.62  0.18  1.23  0.68  0.10  0.81  0.11  -8.95   UVES 
HD145502  161159.74  −192738.5  4.13  0.20  1.17  0.78  0.12  0.80  0.18  -8.49   ELODIE 
HD147165  162111.32  −253534.0  2.91  0.31  2.19  0.62  0.05  0.76  0.13  -6.26   UVES 
HD147933  162535.10  −232648.7  5.02  0.37  4.27  3.72  0.15  1.09  0.27  -8.02   UVES 
HD149757  163709.54  −103401.5  2.58  0.29  0.52  4.47  0.63  1.05  0.50  -14.98  UVES 
HD164284  180015.80  +042207.0  4.78  0.11  0.42  0.71  0.25  0.89  0.15  -15.32  ELODIE 
HD170740  183125.69  −104745.0  5.76  0.38  1.07  7.24  0.58  1.02  0.26  -12.90  UVES 
HD198478  204856.29  +460650.9  4.86  0.43  2.04  7.41  0.42  0.81  0.24  -10.04  ELODIE 
HD202904  211755.08  +345348.8  4.43  0.09  0.23  0.14  0.11  0.39  0.13  -12.90  ELODIE 
HD207198  214453.28  +622738.0  5.96  0.47  3.39  6.76  0.28  0.90  0.53  -15.28  ELODIE 
HD209975  220508.79  +621647.3  5.11  0.27  1.29  1.20  0.16  0.57  0.31  -11.39  ELODIE 
HD214680  223915.68  +390301.0  4.88  0.08  0.50  0.17  0.06  0.50  0.34  -9.20   ELODIE 
HD214993  224128.65  +401331.6  5.23  0.06  0.58  0.43  0.13  0.68  0.17  -9.44   ELODIE 
HD218376  230636.82  +592511.1  4.84  0.16  0.89  1.41  0.24  0.60  0.28  -12.65  ELODIE
