Name    W4428 W4964 W5494 W5513 W5545 W5546 W5769  W5780  W5797 W5850 W6196 W6270  W6284 W6376 W6379  W6614
HD15137  1163   7.9  11.1   2.1   6.9   0.0   3.9  230.1   68.1  20.8  19.9  33.4  298.6  12.7  36.2   80.6
HD22951   471   6.4   2.0   1.3   6.2   3.6   0.7  102.8   35.9  18.8  10.5   9.0  130.8   5.1  23.8   41.0
HD23180   403  12.3   6.4  10.7  10.3   5.4   7.2   88.1   57.7  27.8  12.8  18.0   95.4  10.5  41.3   53.7
HD23630   325   1.2   2.4   0.2   0.8   1.5   2.3   40.7    6.7   1.5   1.9   3.8   21.0   2.0   3.0    8.9
HD24398   450   8.8   5.4   5.8   6.1   3.3   2.5  100.4   55.5  27.3  15.2  11.0   94.1  12.2  46.3   59.3
HD24534   402  13.4   7.6   5.3   9.4   4.8   7.1   95.1   58.9  29.0  15.2  18.8   78.2  10.5  40.3   66.1
HD24760   322   1.5   3.3   1.1   1.5   0.2   1.6   77.0   13.5   2.9   6.0  11.6  105.9   0.3   8.2   23.3
HD24912   949   9.7   7.0   2.7   8.9   2.4   2.4  198.3   51.4  22.3  21.7  33.0  272.4  13.0  30.1   79.7
HD27778   490   8.3   4.6   3.6   8.0   4.5   2.2   86.6   37.4  12.7  10.8   6.9  117.8   8.0  17.4   45.7
HD35149   254   2.8   2.8   1.0   2.6   0.0   1.7   58.0   11.8   6.8   7.1  12.4   78.0   0.9   6.0   21.9
HD35715   221   1.3   1.1   1.2   1.1   0.7   0.7   34.6    3.3   0.5   2.4   4.0   55.4   0.7   2.8    9.5
HD36822   483   1.6   1.4   2.9   2.0   2.9   1.0   84.5   16.4   3.7   8.1   9.5  106.6   3.5  10.1   18.0
HD36861   402   4.6   3.2   4.4   3.2   3.2   1.5   49.0   23.3  12.3   4.9   4.8   51.6   4.7   6.2   14.9
HD40111   739   2.2   2.7   0.0   3.6   3.2   3.3  157.7   32.3   3.6  13.0  17.1  211.1   8.0  12.9   41.1
HD110432  880   8.3   4.1   3.8   5.2   1.8   0.3  137.3   35.0  19.4  18.0  29.6  185.1   7.0  32.4   74.3
HD143275  383   2.1   5.1   2.1   5.2   1.4   1.9   92.7   17.4   6.3   7.6  10.0  118.9   4.3  10.1   23.9
HD144217  430   3.5   2.6   1.1   4.1   1.0   0.7  156.0   17.3   6.5  13.5  25.0  159.3   5.0  14.0   50.9
HD145502  583   3.3   6.3   2.8   4.4   2.0   3.0  186.9   33.7  12.2  14.1  20.5  199.6   7.8  30.0   58.8
HD147165  872   6.1   8.2   5.1   4.5   1.9   0.8  240.0   31.3  16.7  17.5  26.4  214.2  10.9  21.1   61.3
HD147933 1254  20.0   7.6  13.8   8.3   6.9  11.7  209.8   57.2  30.6  17.0  24.9  173.8  15.5  28.0   62.5
HD149757  576   6.6   5.3   3.0   5.7   2.5   2.8   65.1   32.6  14.2  10.3  16.8   72.0  10.9  16.7   46.4
HD164284  686   2.5   1.8   2.3   3.4   1.5   0.7   94.4   13.8   0.4   6.8  15.7  111.3   1.8  11.3   26.9
HD170740  834  10.5  10.6   8.6  11.3   4.6   2.4  240.3   63.3  24.6  26.3  52.7  249.6  20.9  60.7  122.4
HD198478 1592  14.2  10.5   5.8  11.8   5.0   1.5  315.6   75.0  34.6  33.1  53.3  379.5  21.2  46.7  130.6
HD202904  541   2.5   2.6   1.8   1.0   1.1   1.0   44.5    5.7   1.9   3.6  15.2   82.2   3.0  11.7   18.4
HD207198 1282  24.6  19.3  16.6  20.5   9.9   9.8  249.0  132.6  61.1  32.3  43.2  227.2  30.0  71.8  121.8
HD209975 1032   8.8  13.0   1.9  11.2   4.6   0.4  234.2   71.5  26.5  26.9  43.1  240.2  25.5  45.5  114.1
HD214680  361   0.9   4.4   1.8   1.7   2.0   0.6   58.8   20.1   3.9   5.4   9.2   68.7   6.4   4.5   16.1
HD214993  232   4.0   0.2   1.6   1.4   1.2   0.6   78.6   13.6   0.9   7.6  10.0  107.1   4.4  13.9   18.0
HD218376  766   5.1   5.9   3.9   6.2   1.1   1.1  138.7   38.7  17.2  14.2  31.6  175.7  11.2  37.0   66.0
