HIP	Vmag	RA	DE	Plx	pmRA	pmDE	e_Plx	B-V	V-I
     2	 9.27	  0.00379737	-19.49883745	  21.90	  181.21	   -0.93	  3.10	 0.999	 1.04
     7	 9.64	  0.02254891	 20.03660216	  17.74	 -208.12	 -200.79	  1.30	 0.740	 0.79
    25	 6.28	  0.07936537	-44.29029741	  13.74	   58.36	 -108.64	  0.98	 0.763	 0.80
    38	 8.65	  0.11104694	-79.06183133	  23.84	  162.30	  -62.40	  0.78	 0.778	 0.81
    45	 9.59	  0.13420453	-72.20271031	  15.10	  -37.20	   -2.78	  1.92	      	
    50	 6.49	  0.14287059	-53.09766277	  16.89	   52.98	  -20.52	  0.80	 0.616	 0.68
    55	 7.40	  0.15783323	-66.68310336	  14.66	  162.88	  -28.82	  0.98	 0.551	 0.62
    57	 8.27	  0.16828557	-69.67580068	  33.89	  -40.97	  -67.59	  0.79	 0.863	 0.88
    58	 7.05	  0.17376341	 62.17600484	  26.06	  -46.95	  -43.90	  0.67	 0.520	 0.59
    68	 8.79	  0.20063628	 16.98896499	  31.80	  -99.69	 -315.90	  1.17	 0.940	 0.99
    74	 9.93	  0.22187281	 35.75272213	  24.22	  157.73	  -40.31	  1.36	 1.068	 1.03
    80	 8.40	  0.24179216	-11.82353722	  15.59	  419.04	  -82.83	  1.43	 0.566	 0.64
    81	 8.57	  0.24386443	 -4.93211471	  23.43	 -184.70	 -172.67	  1.28	 0.642	 0.71
    84	 9.61	  0.25180722	 27.88634368	  18.90	  225.55	   -5.46	  1.33	 0.852	 0.90
    93	 8.12	  0.29222255	 -0.07592034	  16.74	   54.94	  -73.28	  1.28	 0.619	 0.69
    96	10.46	  0.30489357	 13.97474826	  19.83	   20.59	  139.82	  5.16	 1.360	 1.59
   110	 8.61	  0.34870816	 39.61081788	  20.42	  -29.92	  -41.34	  1.91	 0.787	 0.82
   122	 4.78	  0.39937928	-77.06529438	  14.77	  -56.52	 -176.95	  0.47	 1.254	 1.26
   128	 6.50	  0.41376473	 73.61187664	  15.20	   75.54	  -12.36	  0.63	 0.182	 0.20
   135	 8.64	  0.42674592	 -0.21749947	  20.10	   20.73	 -114.08	  1.22	 0.620	 0.69
   142	 7.33	  0.45374866	 66.30600204	  16.04	    4.74	   12.31	  0.69	 0.730	 0.78
   143	10.35	  0.45518210	 21.46213750	  20.05	  177.97	  150.19	  1.64	 1.033	 1.08
   159	 6.93	  0.51081115	 -2.76616306	  16.92	   39.33	   -3.17	  0.81	 0.292	 0.33
   169	 9.24	  0.53502093	-68.28020594	  63.03	  207.45	 -231.80	  1.98	 1.390	 1.65
   171	 5.80	  0.54018776	 27.08448905	  80.63	  778.59	 -918.72	  3.03	 0.690	 0.82
   179	 6.90	  0.56886229	-13.40751554	  14.91	  261.21	   32.13	  0.90	 0.534	 0.61
   184	 8.48	  0.58977565	 11.00634091	  29.75	   -2.65	  -43.21	  1.21	 0.888	 0.89
   194	 5.70	  0.62398938	  8.48557854	  26.53	  -93.55	  -47.50	  0.77	 0.315	 0.36
   223	 7.17	  0.69641117	  2.13037640	  21.58	   62.25	  -91.23	  1.65	 0.617	 0.69
   238	 6.25	  0.73927410	-20.04607402	  16.16	  100.38	   78.95	  0.96	 0.526	 0.60
   246	 9.73	  0.76368704	 56.73318400	  18.29	  177.58	   46.91	  1.56	 0.990	 1.03
   276	 7.49	  0.85791177	 20.66591788	  15.55	   57.24	 -159.75	  0.95	 0.636	 0.70
   277	 6.96	  0.85927886	-36.25120504	  15.84	   72.54	    5.06	  0.81	 0.353	 0.41
   290	 7.78	  0.90411412	-31.09403248	  15.26	   93.72	  -42.84	  1.03	 0.563	 0.64
   296	 8.24	  0.92207847	-28.39584776	  25.29	  280.23	 -143.11	  1.11	 0.780	 0.82
   301	 4.55	  0.93488487	-17.33597002	  14.31	   28.57	   -7.28	  0.92	-0.047	-0.03
   305	 7.66	  0.97206281	-28.39376930	  20.44	   88.62	  -17.68	  0.96	 0.741	 0.79
   306	 8.59	  0.97473996	-57.83035720	  14.36	  150.24	  -58.93	  2.44	 0.616	 0.68
