 R.A.          Dec.         Vel
 9.704220     -9.789550     15703
 9.712920     -8.736302     16762
 9.769500     -9.672946     17086
 9.778200     -8.799531     16521
 9.785745     -8.906070     16843
 9.875145     -9.695159     16350
 9.878415     -9.983502     15556
 9.886500    -10.077843     16679
 9.892035     -8.733404     16089
 9.898725     -9.241792     17177
 9.910515     -9.988236     15957
 9.928785    -10.013941     17313
 9.937620     -8.856571     17226
 9.948375     -9.803155     15836
 9.951645     -9.243665     17330
 9.954480     -9.248069     16513
 9.983505     -8.734532     16608
 9.996315     -9.434454     16873
10.007010     -9.881233     17205
10.007760    -10.101156     17458
10.020345     -9.050703     16656
10.043040     -9.282834     14904
10.052250     -8.998942     16617
10.056720     -8.966672     17995
10.076265     -8.941774     15568
10.077870     -8.882477     17924
10.080405     -8.975327     17814
10.106940     -9.866868     16623
10.114695     -9.720131     17262
10.120530     -9.624966     16857
10.130055     -9.344527     15699
10.131900     -9.222225     15480
10.143270     -8.834920     17013
10.164525     -9.369335     14473
10.167885     -8.988923     17584
10.170255     -8.816434     15635
10.175895     -9.478070     16140
10.181400     -8.957593     16320
10.183560     -9.399686     17581
10.184310     -9.373076     17122
10.189290     -8.860796     17809
10.193655     -8.834759     16126
10.194990     -9.550414     17219
10.210020     -9.223104     16173
10.214925     -9.341136     16383
10.221750     -9.585146     16835
10.223535     -9.102050     17009
10.226190     -9.723375     16533
10.242195     -8.946506     16121
10.245375     -9.971888     16055
10.246215     -8.999512     16946
10.257810     -9.209226     16199
10.259655     -8.854499     17038
10.273155     -9.192139     16673
10.274880     -9.017866     16846
10.277190     -9.296930     17462
10.279560     -9.448127     14187
10.293195     -9.250293     18293
10.296345     -9.924891     17008
10.296735     -9.871716     17752
10.296795     -8.837805     16711
10.299060     -9.171076     16130
10.300740     -9.169602     16811
10.301310     -9.343174     16767
10.303335     -9.534438     17156
10.303785     -9.150090     15945
10.303860     -9.038145     16548
10.305630     -8.898507     18217
10.305735     -9.331709     16756
10.308825     -9.311265     16293
10.309125     -8.931504     15146
10.320285     -9.327210     14870
10.321635     -9.368249     16715
10.324545     -9.968721     16000
10.326420     -8.754137     16978
10.326630     -9.486570     17405
10.327050     -9.077369     17931
10.329000     -9.197064     14115
10.329180     -9.389902     14933
10.329300     -9.573265     17475
10.331475     -9.419138     16420
10.331940     -9.245349     15311
10.332585     -9.390837     14728
10.332870     -9.283888     16621
10.338825     -8.725139     16077
10.340715     -9.328605     16240
10.341540     -9.058668     16474
10.342005     -9.878084     16350
10.344060     -9.878205     16115
10.344225     -9.309554     17634
10.345920     -9.796518     17107
10.347750     -9.868462     16371
10.351470     -8.700597     16890
10.356090     -9.771844     16198
10.356300     -9.654366     16305
10.356360     -9.392750     17045
10.363170     -9.228632     14203
10.364190     -9.266197     14437
10.366170     -9.391577     14838
10.368240     -9.811248     16147
10.368990     -9.574086     16003
10.370070     -9.232893     14023
10.376385     -9.262756     13416
10.376760     -9.235175     16372
10.376955     -9.359058     16364
10.378110     -9.037462     15231
10.379100     -9.298335     17087
10.379670     -9.193130     16239
10.380195     -9.697518     16789
10.383105     -9.333981     13796
10.384290     -8.744204     17064
10.385535     -8.816640     18019
10.388625     -9.249068     17559
10.389240     -9.156503     18155
10.391190     -8.932345     16888
10.391415     -9.198085     18732
10.394325     -9.378625     17800
10.394640     -9.350082     17336
10.395330     -9.363961     14220
10.395345     -9.868019     16367
10.395465     -9.013200     17550
10.395585     -9.360957     17135
10.396110     -9.093306     17828
10.396365     -9.810204     16539
10.396470     -9.070434     16199
10.400010     -9.187319     16657
10.400895     -9.325145     16342
10.400925     -8.992960     17969
10.401165     -9.309751     15616
10.404930     -9.221005     17624
10.405155     -9.548171     17775
10.408350     -9.493917     14912
10.412430     -9.463310     17182
10.414260     -9.414572     17957
10.415100     -9.458671     16651
10.417185     -9.304288     16888
10.418115     -9.171654     16379
10.419840     -9.275459     15445
10.422105     -9.315894     14265
10.422420     -9.439271     16290
10.426980     -9.357207     14742
10.427205     -9.419460     18476
10.427370     -8.965964     16197
10.428750     -9.104231     15982
10.429005     -9.439277     16854
10.431510     -9.425130     16970
10.435020     -9.440383     17457
10.435680     -9.458735     16448
10.436640     -9.338219     13885
10.439340     -9.675904     17063
10.440990     -9.442977     15966
10.441050     -9.162418     15475
10.441410     -9.478984     16834
10.443945     -8.979253     16860
10.444950     -9.386899     17634
10.446810     -9.137061     16584
10.448925     -9.007875     15283
10.449765     -9.381253     17216
10.450410     -9.458373     17189
10.450965     -9.284301     15842
10.451835     -8.890473     16693
10.454175     -9.951270     15536
10.454610     -9.484073     18388
10.456590     -9.295198     15060
10.459035     -9.429851     17339
10.459740     -9.471731     17278
10.459890     -9.327117     17879
10.460310     -9.303107     16613
10.461630     -9.229360     18041
10.463595     -9.259088     15253
10.464330     -9.287033     18020
10.466280     -9.616428     16210
10.466295     -9.532869     16714
10.467360     -9.504110     17124
10.469310     -8.812170     15790
10.470150     -9.358375     18304
10.471305     -9.521198     17129
10.472340     -9.489197     15777
10.472670     -9.646140     16068
10.472685     -9.494678     15326
10.477290     -9.432146     17138
10.477365     -9.320854     15026
10.478175     -9.111456     15947
10.482225     -9.042987     17373
10.484745     -9.382383     17778
10.485255     -8.697019     16991
10.487580     -9.713194     17693
10.488915     -9.589966     15885
10.489785     -9.282028     17151
