RA,Dec,Vel,z,Cl_d,Delta,Rf,plt.mjd.fiber,M(parn),M(ave),M(IPn),M(IP),Act
9.70422,-9.78955,15703,0.052216,3.24,1.26941,-20.344,0655.52162.263,3.40909,Sb/Sc,3.0,Sb,TO
9.71292,-8.736302,16762,0.054569,3.38,1.36225,-18.944,0655.52162.366,4.2,Sc,1.5,S0/Sa,SFG
9.7695,-9.672946,17086,NA,2.83,1.18715,-20.721,No_SDSS_Spec,1.15,S0,1.5,S0/sa,UNK
9.7782,-8.799531,16521,0.054804,3.06,1.36225,-21.156,0655.52162.406,1.325,S0/Sa,0.3,E,LLA
9.785745,-8.90607,16843,0.056197,2.82,1.30075,-36.809,0655.52162.405,1.63333,S0/Sa,0.7,E/S0,NoE
9.875145,-9.695159,16350,NA,2.54,1.23144,-18.48,No_SDSS_Spec,2.58,Sa/Sb,4.0,Sc,UNK
9.878415,-9.983502,15556,0.053109,3.23,1.07574,-20.196,0655.52162.221,3.65,Sb/Sc,3.5,Sb/Sc,SFG
9.8865,-10.077843,16679,NA,3.48,1.0704,-18.267,No_SDSS_Spec,4.07692,Sc,4.0,Sc,UNK
9.892035,-8.733404,16089,0.054045,2.9,2.02751,-19.909,0655.52162.409,1.12,S0,2.0,Sa,NoE
9.898725,-9.241792,17177,0.057368,2.04,1.26587,-20.957,0655.52162.478,1.325,S0/Sa,2.0,Sa,NoE
9.910515,-9.988236,15957,NA,3.17,1.07574,-18.005,No_SDSS_Spec,4.25,Sc/Sdm,4.0,Sc,UNK
9.928785,-10.013941,17313,0.057364,3.2,1.0704,-20.951,0655.52162.240,0.785714,E/S0,2.0,Sa,NoE
9.93762,-8.856571,17226,0.05746,2.48,1.35839,-19.148,0655.52162.413,4.85,Sdm,5.7,Im,SFG
9.948375,-9.803155,15836,0.052914,2.58,1.06325,-19.128,0655.52162.235,2.97333,Sb,4.0,Sc,SFG
9.951645,-9.243665,17330,0.05787,1.85,1.41441,-19.878,0655.52162.472,1.975,Sa,2.5,Sa/Sb,TO
9.95448,-9.248069,16513,NA,1.83,1.41441,-20.138,No_SDSS_Spec,1.01818,S0,2.0,Sa,UNK
9.983505,-8.734532,16608,0.055531,2.68,0.92626,-20.946,0655.52162.403,0.785714,E/S0,2.0,Sa,NoE
9.996315,-9.434454,16873,0.056521,1.74,0.5954,-19.275,0655.52162.465,4.46154,Sc/Sdm,5.0,Sdm,SFG
10.00701,-9.881233,17205,0.057438,2.65,1.10785,-21.42,0655.52162.238,0.583333,E/S0,1.5,S0/Sa,NoE
