# Matter power spectrum P(k) at redshift z=1
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       1.787510487250e+01 
       2.326965112415e-05       3.884164824230e+01 
       3.616368416872e-05       5.946645990418e+01 
       4.913719191725e-05       7.996112102189e+01 
       6.222526306445e-05       1.004475201478e+02 
       7.546386573355e-05       1.210179033021e+02 
       8.889016871877e-05       1.417517369987e+02 
       1.025428768881e-04       1.627226371438e+02 
       1.164625850318e-04       1.840019295873e+02 
       1.306921544768e-04       2.056608207152e+02 
       1.452771167917e-04       2.277719185407e+02 
       1.602661088538e-04       2.504104237521e+02 
       1.757113433749e-04       2.736551526518e+02 
       1.916691186261e-04       2.975894811525e+02 
       2.082003704664e-04       3.223022498563e+02 
       2.253712687320e-04       3.478886654052e+02 
       2.432538584340e-04       3.744512048130e+02 
       2.619267438085e-04       4.021005316514e+02 
       2.814758098240e-04       4.309564146492e+02 
       3.019949709311e-04       4.611486350109e+02 
       3.235869302956e-04       4.928178520913e+02 
       3.463639240694e-04       5.261163897980e+02 
       3.704484140748e-04       5.612088789400e+02 
       3.959736783305e-04       5.982726820747e+02 
       4.230842321522e-04       6.374979931311e+02 
       4.519359935960e-04       6.790874854802e+02 
       4.826960870561e-04       7.232553563862e+02 
       5.155421603026e-04       7.702255936266e+02 
       5.506610770747e-04       8.202292843177e+02 
       5.882468451593e-04       8.735007886675e+02 
       6.284976558419e-04       9.302726592805e+02 
       6.716119524841e-04       9.907692407394e+02 
       7.177835202354e-04       1.055199025044e+03 
       7.671956976641e-04       1.123746014355e+03 
       8.200149485639e-04       1.196560517341e+03 
       8.763841814321e-04       1.273750039170e+03 
       9.364163367091e-04       1.355371036581e+03 
       1.000188842050e-03       1.441422428181e+03 
       1.067739530131e-03       1.531841619695e+03 
       1.139064503232e-03       1.626503617613e+03 
       1.214118221415e-03       1.725223479458e+03 
       1.292815822631e-03       1.827761921750e+03 
       1.375037409658e-03       1.933826192131e+03 
       1.460633819102e-03       2.043093926348e+03 
       1.549433263643e-03       2.155225749823e+03 
       1.641248223755e-03       2.269861241920e+03 
       1.735882043984e-03       2.386636371553e+03 
       1.833134827612e-03       2.505192365952e+03 
       1.932808383248e-03       2.625182962277e+03 
       2.034710125310e-03       2.746279704361e+03 
       2.138655947702e-03       2.868175429834e+03 
       2.244472168970e-03       2.990586524512e+03 
       2.351996690194e-03       3.113253399228e+03 
       2.461079521215e-03       3.235941415711e+03 
       2.571582825405e-03       3.358438525354e+03 
       2.683380616443e-03       3.480555616787e+03 
       2.796358218551e-03       3.602124778878e+03 
       2.910411578940e-03       3.722997151641e+03 
       3.025446500155e-03       3.843042061760e+03 
       3.141377841964e-03       3.962144487871e+03 
