# Matter power spectrum P(k) at redshift z=0
# for k=1.04232e-05 to 5.30028 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042318509985e-05       4.830816748858e+01 
       2.326668950491e-05       1.049326182510e+02 
       3.615510854550e-05       1.606341946519e+02 
       4.912291784486e-05       2.159837877356e+02 
       6.220516005698e-05       2.713102462101e+02 
       7.543775552495e-05       3.268623834953e+02 
       8.885782281869e-05       3.828545044287e+02 
       1.025040133926e-04       4.394850752311e+02 
       1.164168646358e-04       4.969463537276e+02 
       1.306391756219e-04       5.554302360537e+02 
       1.452164098706e-04       6.151323546887e+02 
       1.601971293804e-04       6.762552843166e+02 
       1.756334640165e-04       7.390112981465e+02 
       1.915816199875e-04       8.036248994325e+02 
       2.081024305075e-04       8.703352556773e+02 
       2.252619507022e-04       9.393986200631e+02 
       2.431320972150e-04       1.011090755297e+03 
       2.617913305784e-04       1.085709390574e+03 
       2.813253749961e-04       1.163576687344e+03 
       3.018279653860e-04       1.245041669604e+03 
       3.234016050253e-04       1.330482549237e+03 
       3.461583084983e-04       1.420308833632e+03 
       3.702202935221e-04       1.514963057878e+03 
       3.957205713523e-04       1.614921938337e+03 
       4.228033688460e-04       1.720696650823e+03 
       4.516242963770e-04       1.832831934388e+03 
       4.823501559069e-04       1.951903571850e+03 
       5.151582650215e-04       2.078513815602e+03 
       5.502351595358e-04       2.213284267044e+03 
       5.877745349480e-04       2.356845737821e+03 
       6.279743026892e-04       2.509824744738e+03 
       6.710326785180e-04       2.672826477230e+03 
       7.171432940167e-04       2.846414382863e+03 
       7.664894301721e-04       3.031086997020e+03 
       8.192376087604e-04       3.227253126198e+03 
       8.755309260154e-04       3.435207092257e+03 
       9.354826456508e-04       3.655106125535e+03 
       9.991706491837e-04       3.886952290042e+03 
       1.066633337124e-03       4.130581131599e+03 
       1.137867466218e-03       4.385658860361e+03 
       1.212828202439e-03       4.651688580824e+03 
       1.291431402338e-03       4.928025961985e+03 
       1.373557862468e-03       5.213890190316e+03 
       1.459059056400e-03       5.508396591097e+03 
       1.547763753426e-03       5.810637700175e+03 
       1.639484896428e-03       6.119642698502e+03 
       1.734026193550e-03       6.434431116340e+03 
       1.831188015966e-03       6.754036287331e+03 
       1.930772353084e-03       7.077524428241e+03 
       2.032586724939e-03       7.404008984803e+03 
       2.136447069122e-03       7.732660393204e+03 
       2.242179699083e-03       8.062712126765e+03 
       2.349622474091e-03       8.393463456103e+03 
       2.458625335923e-03       8.724279166145e+03 
       2.569050362325e-03       9.054587790420e+03 
       2.680771470702e-03       9.383878583270e+03 
       2.793673883698e-03       9.711697519479e+03 
       2.907653445613e-03       1.003764263135e+04 
       3.022615857602e-03       1.036136032389e+04 
       3.138475881524e-03       1.068254010378e+04 
       3.255156547540e-03       1.100091096482e+04 
       3.372588389020e-03       1.131623657283e+04 
       3.490708719541e-03       1.162831230406e+04 
       3.609460960337e-03       1.193696091193e+04 
       3.728794022005e-03       1.224203183461e+04 
       3.848661741109e-03       1.254339415587e+04 
       3.969022370231e-03       1.284094043453e+04 
       4.089838118760e-03       1.313457624654e+04 
       4.211074740932e-03       1.342422783873e+04 
       4.332701167300e-03       1.370983061982e+04 
       4.454689175713e-03       1.399133806765e+04 
       4.577013097991e-03       1.426870806291e+04 
       4.699649558625e-03       1.454190881337e+04 
       4.822577242125e-03       1.481087293396e+04 
       4.945776685901e-03       1.507569426534e+04 
       5.069230095820e-03       1.533628109719e+04 
       5.192921181927e-03       1.559265337719e+04 
       5.316835012004e-03       1.584484661140e+04 
       5.440957880965e-03       1.609288579197e+04 
       5.565277194257e-03       1.633671094117e+04 
       5.689781363673e-03       1.657637215261e+04 
       5.814459714164e-03       1.681113913719e+04 
       5.939302400389e-03       1.704250611852e+04 
       6.064300331913e-03       1.726971797482e+04 
       6.189445106065e-03       1.749292483060e+04 
       6.314728947613e-03       1.771222565263e+04 
       6.440144654486e-03       1.792768731088e+04 
       6.565685548890e-03       1.813869124178e+04 
       6.691345433214e-03       1.834578627651e+04 
       6.817118550219e-03       1.854889818831e+04 
       6.942999547047e-03       1.874823264604e+04 
       7.068983442635e-03       1.894367104763e+04 
       7.195065598197e-03       1.913535752433e+04 
       7.321241690426e-03       1.932316904721e+04 
       7.447507687166e-03       1.950708869383e+04 
       7.573859825271e-03       1.968751482825e+04 
       7.700294590456e-03       1.986471092201e+04 
       7.826808698932e-03       2.003775737312e+04 
       7.953399080635e-03       2.020717196837e+04 
       8.080062863922e-03       2.037300278341e+04 
       8.206797361564e-03       2.053537833782e+04 
       8.333600057928e-03       2.069421460474e+04 
       8.460468597232e-03       2.084959086064e+04 
       8.587400772771e-03       2.100154822981e+04 
       8.714394517025e-03       2.115012505175e+04 
       8.841447892570e-03       2.129534204763e+04 
       8.968559083715e-03       2.143721919732e+04 
       9.095726388808e-03       2.157584280086e+04 
       9.222948213141e-03       2.171123470802e+04 
       9.350223062410e-03       2.184340841237e+04 
       9.477549536684e-03       2.197243328615e+04 
       9.604926324824e-03       2.209774916010e+04 
       9.732352199337e-03       2.222116141947e+04 
       9.859826011605e-03       2.234080700829e+04 
       9.987346687481e-03       2.245749182290e+04 
       1.011491322320e-02       2.257117875232e+04 
       1.024252468160e-02       2.268190156103e+04 
       1.037018018859e-02       2.278976054436e+04 
       1.049787892995e-02       2.289459404799e+04 
       1.062562014824e-02       2.299669159041e+04 
       1.075340314003e-02       2.309583855775e+04 
       1.088122725330e-02       2.319222115638e+04 
       1.100909188501e-02       2.328586650835e+04 
       1.113699647885e-02       2.337676830228e+04 
       1.126494052313e-02       2.346504885495e+04 
       1.139292354886e-02       2.355057330436e+04 
       1.152094512792e-02       2.363336432529e+04 
       1.164900487138e-02       2.371366110441e+04 
       1.177710242795e-02       2.379143383974e+04 
       1.190523748249e-02       2.386648346804e+04 
       1.203340975469e-02       2.393909531173e+04 
       1.216161899776e-02       2.400929241074e+04 
       1.228986499734e-02       2.407695680201e+04 
       1.241814757030e-02       2.414226713443e+04 
       1.254646656383e-02       2.420505467441e+04 
       1.267482185444e-02       2.426546390942e+04 
       1.280321334712e-02       2.432361157374e+04 
       1.293164097451e-02       2.437942500083e+04 
       1.306010469616e-02       2.443295173891e+04 
       1.318860449784e-02       2.448417732234e+04 
       1.331714039092e-02       2.453330292403e+04 
       1.344571241175e-02       2.458004596676e+04 
       1.357432062114e-02       2.462463400496e+04 
       1.370296510385e-02       2.466719260111e+04 
       1.383164596815e-02       2.470747747753e+04 
       1.396036334541e-02       2.474570389638e+04 
       1.408911738970e-02       2.478195438800e+04 
       1.421790827747e-02       2.481601968720e+04 
       1.434673620723e-02       2.484803153098e+04 
       1.447560139929e-02       2.487812337708e+04 
       1.460450409553e-02       2.490625095446e+04 
       1.473344455913e-02       2.493245191586e+04 
       1.486242307446e-02       2.495669700008e+04 
       1.499143994688e-02       2.497904947721e+04 
       1.512049550260e-02       2.499956300378e+04 
       1.524959008862e-02       2.501815558835e+04 
       1.537872407260e-02       2.503488933942e+04 
       1.550789784284e-02       2.504985709888e+04 
       1.563711180819e-02       2.506304525269e+04 
       1.576636639812e-02       2.507452390164e+04 
       1.589566206265e-02       2.508422231928e+04 
       1.602499927240e-02       2.509216803265e+04 
       1.615437851868e-02       2.509857617189e+04 
       1.628380031348e-02       2.510314559284e+04 
       1.641326518963e-02       2.510612260625e+04 
       1.654277370086e-02       2.510748513054e+04 
       1.667232642194e-02       2.510732908940e+04 
       1.680192394881e-02       2.510560255226e+04 
       1.693156689875e-02       2.510220740087e+04 
       1.706125591055e-02       2.509733572282e+04 
       1.719099164470e-02       2.509086991011e+04 
       1.732077478363e-02       2.508304030175e+04 
       1.745060603188e-02       2.507365583166e+04 
       1.758048611640e-02       2.506284983612e+04 
       1.771041578677e-02       2.505054085072e+04 
       1.784039581551e-02       2.503626004009e+04 
       1.797042699833e-02       2.502148379368e+04 
       1.810051015451e-02       2.500565421297e+04 
       1.823064612715e-02       2.498679123934e+04 
       1.836083578356e-02       2.496803641481e+04 
       1.849108001562e-02       2.494849298126e+04 
       1.862137974013e-02       2.492599583225e+04 
       1.875173589923e-02       2.490309182080e+04 
       1.888214946080e-02       2.487971965763e+04 
       1.901262141889e-02       2.485421551667e+04 
       1.914315279417e-02       2.482761538351e+04 
       1.927374463438e-02       2.479862074861e+04 
       1.940439801484e-02       2.477091974089e+04 
       1.953511403893e-02       2.474025709204e+04 
       1.966589383859e-02       2.470959944006e+04 
       1.979673857490e-02       2.467674762531e+04 
       1.992764943861e-02       2.464315765527e+04 
       2.005862765073e-02       2.460860652667e+04 
       2.018967446310e-02       2.457284193720e+04 
       2.032079115903e-02       2.453640957362e+04 
       2.045197905395e-02       2.449940583314e+04 
       2.058323949603e-02       2.446082168312e+04 
       2.071457386688e-02       2.442012300736e+04 
       2.084598358227e-02       2.437943640913e+04 
       2.097747009282e-02       2.433886366413e+04 
       2.110903488479e-02       2.429562247105e+04 
       2.124067948081e-02       2.425197306906e+04 
       2.137240544071e-02       2.420765611725e+04 
       2.150421436233e-02       2.416247141414e+04 
       2.163610788236e-02       2.411650763002e+04 
       2.176808767724e-02       2.406959210561e+04 
       2.190015546404e-02       2.402173986452e+04 
       2.203231300142e-02       2.397314815094e+04 
       2.216456209054e-02       2.392373615540e+04 
       2.229690457610e-02       2.387342672443e+04 
       2.242934234735e-02       2.382251369687e+04 
       2.256187733913e-02       2.377067458200e+04 
       2.269451153296e-02       2.371830956608e+04 
       2.282724695818e-02       2.366525263208e+04 
       2.296008569308e-02       2.361115104080e+04 
       2.309302986612e-02       2.355724469126e+04 
       2.322608165712e-02       2.350121141398e+04 
       2.335924329856e-02       2.344592878235e+04 
       2.349251707690e-02       2.338847300145e+04 
       2.362590533388e-02       2.333199025127e+04 
       2.375941046797e-02       2.327357679487e+04 
       2.389303493576e-02       2.321506240792e+04 
       2.402678125348e-02       2.315586457075e+04 
       2.416065199850e-02       2.309622665946e+04 
       2.429464981093e-02       2.303587669134e+04 
       2.442877739525e-02       2.297549254225e+04 
       2.456303752198e-02       2.291432349582e+04 
       2.469743302943e-02       2.285165630861e+04 
       2.483196682550e-02       2.278903763852e+04 
       2.496664188952e-02       2.272651675885e+04 
       2.510146127417e-02       2.266283264820e+04 
       2.523642810747e-02       2.259897124048e+04 
       2.537154559483e-02       2.253487243706e+04 
       2.550681702113e-02       2.246975027632e+04 
       2.564224575297e-02       2.240461612470e+04 
       2.577783524084e-02       2.233880018965e+04 
       2.591358902154e-02       2.227281508628e+04 
       2.604951072057e-02       2.220607039526e+04 
       2.618560405462e-02       2.213960359478e+04 
       2.632187283416e-02       2.207180716182e+04 
       2.645832096613e-02       2.200399428527e+04 
       2.659495245671e-02       2.193587736912e+04 
       2.673177141418e-02       2.186780990870e+04 
       2.686878205193e-02       2.179872926947e+04 
       2.700598869148e-02       2.172967227967e+04 
       2.714339576574e-02       2.166027538759e+04 
       2.728100782227e-02       2.159090450291e+04 
       2.741882952671e-02       2.152046646663e+04 
       2.755686566637e-02       2.145019818946e+04 
       2.769512115391e-02       2.137951900822e+04 
       2.783360103112e-02       2.130888848825e+04 
       2.797231047296e-02       2.123762122535e+04 
       2.811125479163e-02       2.116630049520e+04 
       2.825043944086e-02       2.109452011220e+04 
       2.838987002039e-02       2.102283375026e+04 
       2.852955228053e-02       2.095068531694e+04 
       2.866949212700e-02       2.087832984758e+04 
       2.880969562588e-02       2.080583095029e+04 
       2.895016900883e-02       2.073317771150e+04 
       2.909091867849e-02       2.066026285925e+04 
       2.923195121403e-02       2.058718108688e+04 
       2.937327337705e-02       2.051396422751e+04 
       2.951489211763e-02       2.044052608387e+04 
       2.965681458068e-02       2.036693864990e+04 
       2.979904811250e-02       2.029363207945e+04 
       2.994160026769e-02       2.021940578938e+04 
       3.008447881627e-02       2.014536743927e+04 
       3.022769175122e-02       2.007125436217e+04 
       3.037124729618e-02       1.999708179705e+04 
       3.051515391365e-02       1.992267626665e+04 
       3.065942031348e-02       1.984825217948e+04 
       3.080405546167e-02       1.977367091035e+04 
       3.094906858971e-02       1.969903907956e+04 
