# Matter power spectrum P(k) at redshift z=50
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       2.850984553202e-02 
       2.326965112415e-05       6.195075851754e-02 
       3.616368416872e-05       9.484755995956e-02 
       4.913719191725e-05       1.275382133161e-01 
       6.222526306445e-05       1.602176541166e-01 
       7.546386573355e-05       1.930335909427e-01 
       8.889016871877e-05       2.261134053711e-01 
       1.025428768881e-04       2.595752193395e-01 
       1.164625850318e-04       2.935335994529e-01 
       1.306921544768e-04       3.281030409385e-01 
       1.452771167917e-04       3.634004174418e-01 
       1.602661088538e-04       3.995469161251e-01 
       1.757113433749e-04       4.366697087360e-01 
       1.916691186261e-04       4.749034999600e-01 
       2.082003704664e-04       5.143920329245e-01 
       2.253712687320e-04       5.552895875006e-01 
       2.432538584340e-04       5.977625145893e-01 
       2.619267438085e-04       6.419907902773e-01 
       2.814758098240e-04       6.881696084884e-01 
       3.019949709311e-04       7.365109726533e-01 
       3.235869302956e-04       7.872452580405e-01 
       3.463639240694e-04       8.406226788909e-01 
       3.704484140748e-04       8.969145698820e-01 
       3.959736783305e-04       9.564143640959e-01 
       4.230842321522e-04       1.019438108924e+00 
       4.519359935960e-04       1.086324305584e+00 
       4.826960870561e-04       1.157432841522e+00 
       5.155421603026e-04       1.233142719120e+00 
       5.506610770747e-04       1.313848274749e+00 
       5.882468451593e-04       1.399953588746e+00 
       6.284976558419e-04       1.491864814358e+00 
       6.716119524841e-04       1.589980297208e+00 
       7.177835202354e-04       1.694678505499e+00 
       7.671956976641e-04       1.806304077838e+00 
       8.200149485639e-04       1.925152601658e+00 
       8.763841814321e-04       2.051455107439e+00 
       9.364163367091e-04       2.185363492589e+00 
       1.000188842050e-03       2.326938343090e+00 
       1.067739530131e-03       2.476140487080e+00 
       1.139064503232e-03       2.632827355520e+00 
       1.214118221415e-03       2.796754747844e+00 
       1.292815822631e-03       2.967583870998e+00 
       1.375037409658e-03       3.144880821242e+00 
       1.460633819102e-03       3.328154147017e+00 
       1.549433263643e-03       3.516874444622e+00 
       1.641248223755e-03       3.710466748286e+00 
       1.735882043984e-03       3.908338667820e+00 
       1.833134827612e-03       4.109894886442e+00 
       1.932808383248e-03       4.314549474175e+00 
       2.034710125310e-03       4.521735448604e+00 
       2.138655947702e-03       4.730911731694e+00 
       2.244472168970e-03       4.941568357840e+00 
       2.351996690194e-03       5.153229109424e+00 
       2.461079521215e-03       5.365453125917e+00 
       2.571582825405e-03       5.577835170453e+00 
       2.683380616443e-03       5.790004740896e+00 
       2.796358218551e-03       6.001625549152e+00 
       2.910411578940e-03       6.212392851574e+00 
       3.025446500155e-03       6.422032938020e+00 
       3.141377841964e-03       6.630299839485e+00 
       3.258128727682e-03       6.836974863533e+00 
       3.375629778325e-03       7.041863081276e+00 
       3.493818389235e-03       7.244792939291e+00 
       3.612638057434e-03       7.445612925327e+00 
       3.732037763424e-03       7.644191982678e+00 
       3.851971407996e-03       7.840414645631e+00 
       3.972397302585e-03       8.034184045872e+00 
       4.093277710397e-03       8.225415295876e+00 
       4.214578434808e-03       8.414039458431e+00 
       4.336268451195e-03       8.599997071027e+00 
       4.458319578280e-03       8.783242916905e+00 
       4.580706185135e-03       8.963738188650e+00 
       4.703404930208e-03       9.141454502034e+00 
       4.826394528974e-03       9.316373324516e+00 
       4.949655547086e-03       9.488479392902e+00 
       5.073170216191e-03       9.657767276856e+00 
       5.196922269879e-03       9.824235182744e+00 
       5.320896797456e-03       9.987886322465e+00 
       5.445080113527e-03       1.014872995853e+01 
       5.569459641572e-03       1.030677542424e+01 
       5.694023809915e-03       1.046204144614e+01 
       5.818761958675e-03       1.061454263447e+01 
       5.943664256446e-03       1.076430261752e+01 
       6.068721625606e-03       1.091133596170e+01 
       6.193925675282e-03       1.105567470048e+01 
       6.319268641115e-03       1.119733579580e+01 
       6.444743331067e-03       1.133635147679e+01 
       6.570343076612e-03       1.147274325625e+01 
       6.696061688712e-03       1.160653906434e+01 
       6.821893418064e-03       1.173776644286e+01 
       6.947832919166e-03       1.186645311165e+01 
       7.073875217785e-03       1.199262367860e+01 
       7.200015681476e-03       1.211630514566e+01 
       7.326249992837e-03       1.223752698928e+01 
       7.452574125202e-03       1.235631541355e+01 
       7.578984320550e-03       1.247269234741e+01 
       7.705477069379e-03       1.258669333958e+01 
       7.832049092365e-03       1.269833526502e+01 
       7.958697323625e-03       1.280764534718e+01 
       8.085418895432e-03       1.291464916628e+01 
       8.212211124224e-03       1.301937430484e+01 
       8.339071497814e-03       1.312184124696e+01 
       8.465997663657e-03       1.322207189778e+01 
       8.592987418093e-03       1.332010041227e+01 
       8.720038696471e-03       1.341594330419e+01 
       8.847149564069e-03       1.350962136378e+01 
       8.974318207751e-03       1.360115798403e+01 
       9.101542928276e-03       1.369058194783e+01 
       9.228822133218e-03       1.377791251260e+01 
       9.356154330437e-03       1.386317366065e+01 
       9.483538122048e-03       1.394638805918e+01 
       9.610972198861e-03       1.402757399112e+01 
       9.738455335230e-03       1.410675788887e+01 
       9.865986384300e-03       1.418395879464e+01 
       9.993564273599e-03       1.425920405642e+01 
       1.012118800096e-02       1.433250960520e+01 
       1.024885663075e-02       1.440390037592e+01 
       1.037656929035e-02       1.447339969261e+01 
       1.050432516691e-02       1.454102153244e+01 
       1.063212350435e-02       1.460679945985e+01 
       1.075996360053e-02       1.467074932626e+01 
       1.088784480465e-02       1.473288794000e+01 
       1.101576651488e-02       1.479324049409e+01 
       1.114372817602e-02       1.485182745904e+01 
       1.127172927752e-02       1.490867575813e+01 
       1.139976935144e-02       1.496379633472e+01 
       1.152784797069e-02       1.501721536938e+01 
       1.165596474734e-02       1.506895371501e+01 
       1.178411933107e-02       1.511902798659e+01 
       1.191231140769e-02       1.516746191418e+01 
       1.204054069778e-02       1.521426696661e+01 
       1.216880695546e-02       1.525947451407e+01 
       1.229710996722e-02       1.530309846432e+01 
       1.242544955078e-02       1.534515475349e+01 
       1.255382555417e-02       1.538566909109e+01 
       1.268223785470e-02       1.542465705044e+01 
       1.281068635814e-02       1.546213422861e+01 
       1.293917099791e-02       1.549812480989e+01 
       1.306769173434e-02       1.553264055292e+01 
       1.319624855393e-02       1.556570092393e+01 
       1.332484146880e-02       1.559732385901e+01 
       1.345347051603e-02       1.562753051488e+01 
       1.358213575713e-02       1.565633343561e+01 
       1.371083727760e-02       1.568375783668e+01 
       1.383957518639e-02       1.570980717004e+01 
       1.396834961557e-02       1.573450767169e+01 
       1.409716071990e-02       1.575787732870e+01 
       1.422600867652e-02       1.577992486792e+01 
       1.435489368463e-02       1.580067220816e+01 
       1.448381596521e-02       1.582013460524e+01 
       1.461277576080e-02       1.583833047179e+01 
       1.474177333527e-02       1.585527384618e+01 
       1.487080897367e-02       1.587097644109e+01 
       1.499988298201e-02       1.588545164584e+01 
       1.512899568719e-02       1.589872821801e+01 
       1.525814743687e-02       1.591081329311e+01 
       1.538733859939e-02       1.592171930242e+01 
       1.551656956372e-02       1.593146829353e+01 
       1.564584073940e-02       1.594007390905e+01 
       1.577515255657e-02       1.594754762862e+01 
       1.590450546593e-02       1.595390787481e+01 
       1.603389993880e-02       1.595916779394e+01 
       1.616333646718e-02       1.596334218169e+01 
       1.629281556376e-02       1.596644472065e+01 
       1.642233776207e-02       1.596849483439e+01 
       1.655190361655e-02       1.596949561581e+01 
       1.668151370268e-02       1.596948243047e+01 
       1.681116861713e-02       1.596844489792e+01 
       1.694086897792e-02       1.596641680474e+01 
       1.707061542457e-02       1.596339964754e+01 
       1.720040861833e-02       1.595940664125e+01 
       1.733024924236e-02       1.595445769458e+01 
       1.746013800200e-02       1.594857703146e+01 
       1.759007562495e-02       1.594175635382e+01 
       1.772006286159e-02       1.593402211997e+01 
       1.785010048523e-02       1.592538407681e+01 
       1.798018929242e-02       1.591585736593e+01 
       1.811033010322e-02       1.590545409555e+01 
       1.824052376159e-02       1.589418098209e+01 
       1.837077113569e-02       1.588206157849e+01 
       1.850107311825e-02       1.586910642469e+01 
       1.863143062694e-02       1.585532245984e+01 
       1.876184460481e-02       1.584073728838e+01 
       1.889231602063e-02       1.582533963261e+01 
       1.902284586938e-02       1.580914922970e+01 
       1.915343517266e-02       1.579220139878e+01 
       1.928408497917e-02       1.577448563504e+01 
       1.941479636520e-02       1.575600377564e+01 
       1.954557043510e-02       1.573679506782e+01 
       1.967640832185e-02       1.571686239329e+01 
       1.980731118754e-02       1.569619913705e+01 
       1.993828022397e-02       1.567485209768e+01 
       2.006931665321e-02       1.565279772084e+01 
       2.020042172819e-02       1.563007689780e+01 
       2.033159673334e-02       1.560666878405e+01 
       2.046284298520e-02       1.558262403385e+01 
       2.059416183310e-02       1.555791777988e+01 
       2.072555465984e-02       1.553259000757e+01 
       2.085702288238e-02       1.550662799481e+01 
       2.098856795258e-02       1.548004872549e+01 
       2.112019135793e-02       1.545288581962e+01 
       2.125189462236e-02       1.542512077420e+01 
       2.138367930699e-02       1.539676825733e+01 
       2.151554701099e-02       1.536784051790e+01 
       2.164749937244e-02       1.533838682326e+01 
       2.177953806914e-02       1.530835988226e+01 
       2.191166481961e-02       1.527779212799e+01 
       2.204388138394e-02       1.524669902588e+01 
       2.217618956478e-02       1.521510656431e+01 
       2.230859120836e-02       1.518297808371e+01 
       2.244108820548e-02       1.515036167435e+01 
       2.257368249257e-02       1.511727565274e+01 
       2.270637605277e-02       1.508370808367e+01 
       2.283917091708e-02       1.504965019980e+01 
       2.297206916549e-02       1.501515685424e+01 
       2.310507292820e-02       1.498019624913e+01 
       2.323818438680e-02       1.494482662526e+01 
       2.337140577562e-02       1.490897616147e+01 
       2.350473938296e-02       1.487275587191e+01 
       2.363818755247e-02       1.483610957780e+01 
       2.377175268458e-02       1.479905717929e+01 
       2.390543723787e-02       1.476160388688e+01 
       2.403924373063e-02       1.472379147404e+01 
       2.417317474233e-02       1.468558252658e+01 
       2.430723291522e-02       1.464699242758e+01 
