# Matter power spectrum P(k) at redshift z=0
# for k=1.05097e-05 to 5.16735 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050970840809e-05       4.715601028977e+01 
       2.356175576258e-05       1.028598662852e+02 
       3.666071141871e-05       1.576567961937e+02 
       4.984276334253e-05       2.121157595276e+02 
       6.314471195617e-05       2.665656246841e+02 
       7.660430701708e-05       3.212562791553e+02 
       9.026059551751e-05       3.764037601052e+02 
       1.041542853459e-04       4.322088220878e+02 
       1.183281294874e-04       4.888665299301e+02 
       1.328273355758e-04       5.465721315121e+02 
       1.477000056086e-04       6.055252048487e+02 
       1.629976105606e-04       6.659329353660e+02 
       1.787755044139e-04       7.280129618513e+02 
       1.950934816760e-04       7.919960032407e+02 
       2.120163816755e-04       8.581284143932e+02 
       2.296147416462e-04       9.266747166395e+02 
       2.479654986352e-04       9.979201613610e+02 
       2.671527373495e-04       1.072173312226e+03 
       2.872684768525e-04       1.149768632780e+03 
       3.084134831683e-04       1.231069026043e+03 
       3.306980868950e-04       1.316468235068e+03 
       3.542429744197e-04       1.406392969580e+03 
       3.791799078563e-04       1.501304581383e+03 
       4.056523121586e-04       1.601700027871e+03 
       4.338156481498e-04       1.708111822922e+03 
       4.638374682499e-04       1.821106567276e+03 
       4.958970293744e-04       1.941281609832e+03 
       5.301843181604e-04       2.069259317822e+03 
       5.668983326380e-04       2.205678445945e+03 
       6.062444689372e-04       2.351182124380e+03 
       6.484308903761e-04       2.506402149093e+03 
       6.936638180444e-04       2.671939561774e+03 
       7.421417826629e-04       2.848341845122e+03 
       7.940490160456e-04       3.036077675086e+03 
       8.495483246885e-04       3.235510721616e+03 
       9.087739518464e-04       3.446874561314e+03 
       9.718250599384e-04       3.670251179486e+03 
       1.038760510346e-03       3.905555504557e+03 
       1.109595550728e-03       4.152528236639e+03 
       1.184300833905e-03       4.410738215211e+03 
       1.262803913910e-03       4.679589413704e+03 
       1.344993050695e-03       4.958314190124e+03 
       1.430722874723e-03       5.246109314717e+03 
       1.519821275417e-03       5.542051845257e+03 
       1.612096812990e-03       5.845169780551e+03 
       1.707346005978e-03       6.154471687811e+03 
       1.805359983960e-03       6.468972641870e+03 
       1.905930171517e-03       6.787715631639e+03 
       2.008852844321e-03       7.109787888927e+03 
       2.113932543147e-03       7.434332553034e+03 
       2.220984433852e-03       7.760556045359e+03 
       2.329835760771e-03       8.087731421821e+03 
       2.440326564895e-03       8.415199516749e+03 
       2.552309836877e-03       8.742366146806e+03 
       2.665651258308e-03       9.068701085169e+03 
       2.780228660725e-03       9.393732255909e+03 
       2.895931306020e-03       9.717041914269e+03 
       3.012659067653e-03       1.003826285842e+04 
       3.130321571002e-03       1.035707191669e+04 
       3.248837333983e-03       1.067318834468e+04 
       3.368132935483e-03       1.098636563439e+04 
       3.488142228968e-03       1.129639163018e+04 
       3.608805611089e-03       1.160308151555e+04 
       3.730069349789e-03       1.190627881044e+04 
       3.851884972792e-03       1.220584677324e+04 
       3.974208714909e-03       1.250167252016e+04 
       4.097001021148e-03       1.279365726770e+04 
       4.220226101728e-03       1.308172266095e+04 
       4.343851534751e-03       1.336580294406e+04 
       4.467847912124e-03       1.364584367635e+04 
       4.592188524496e-03       1.392180374383e+04 
       4.716849081130e-03       1.419364945685e+04 
       4.841807460949e-03       1.446130771313e+04 
       4.967043491309e-03       1.472487732203e+04 
       5.092538751369e-03       1.498425633739e+04 
       5.218276397242e-03       1.523946212412e+04 
       5.344241006426e-03       1.549051196380e+04 
       5.470418439272e-03       1.573746308579e+04 
       5.596795715525e-03       1.598023939793e+04 
       5.723360904177e-03       1.621815617460e+04 
       5.850103025098e-03       1.645267357837e+04 
       5.977011961084e-03       1.668309205816e+04 
       6.104078379127e-03       1.690939167424e+04 
       6.231293659855e-03       1.713169628036e+04 
       6.358649834210e-03       1.735013992007e+04 
       6.486139526563e-03       1.756475078506e+04 
       6.613755903532e-03       1.777495997177e+04 
       6.741492627882e-03       1.798125696636e+04 
       6.869343816953e-03       1.818360411230e+04 
       6.997304005108e-03       1.838218995136e+04 
       7.125368109789e-03       1.857689125652e+04 
       7.253531400786e-03       1.876787124533e+04 
       7.381789472381e-03       1.895498858520e+04 
       7.510138218067e-03       1.913823182050e+04 
       7.638573807585e-03       1.931798704488e+04 
       7.767092666026e-03       1.949452096591e+04 
       7.895691454810e-03       1.966692517817e+04 
       8.024367054337e-03       1.983570782016e+04 
       8.153116548153e-03       2.000093072572e+04 
       8.281937208487e-03       2.016267353256e+04 
       8.410826483016e-03       2.032091199632e+04 
       8.539781982749e-03       2.047568972342e+04 
       8.668801470924e-03       2.062704374684e+04 
       8.797882852820e-03       2.077502993294e+04 
       8.927024166401e-03       2.091965693635e+04 
       9.056223573714e-03       2.106094687395e+04 
       9.185479352984e-03       2.119898462865e+04 
       9.314789891322e-03       2.133378980128e+04 
       9.444153678017e-03       2.146537795474e+04 
       9.573569298339e-03       2.159380988677e+04 
       9.703035427831e-03       2.171859273590e+04 
       9.832550827022e-03       2.184132877673e+04 
       9.962114336550e-03       2.196039173723e+04 
       1.009172487265e-02       2.207646515493e+04 
       1.022138142297e-02       2.218954331180e+04 
       1.035108304272e-02       2.229900367013e+04 
       1.048082885104e-02       2.240687318182e+04 
       1.061061802772e-02       2.251113080935e+04 
       1.074044981011e-02       2.261245931383e+04 
       1.087032349023e-02       2.271099929983e+04 
       1.100023841213e-02       2.280675689284e+04 
       1.113019396943e-02       2.289970786597e+04 
       1.126018960298e-02       2.298992686602e+04 
       1.139022479880e-02       2.307742383459e+04 
       1.152029908603e-02       2.316231442587e+04 
       1.165041203512e-02       2.324439583661e+04 
       1.178056325610e-02       2.332392864233e+04 
       1.191075239702e-02       2.340095574217e+04 
       1.204097914241e-02       2.347526077932e+04 
       1.217124321196e-02       2.354708632673e+04 
       1.230154435920e-02       2.361639166375e+04 
       1.243188237032e-02       2.368326682232e+04 
       1.256225706306e-02       2.374776990302e+04 
       1.269266828570e-02       2.380964605164e+04 
       1.282311591607e-02       2.386925385094e+04 
       1.295359986073e-02       2.392648229153e+04 
       1.308412005407e-02       2.398142579142e+04 
       1.321467645761e-02       2.403400278946e+04 
       1.334526905927e-02       2.408438209780e+04 
       1.347589787275e-02       2.413236009007e+04 
       1.360656293690e-02       2.417826392170e+04 
       1.373726431521e-02       2.422187442175e+04 
       1.386800209526e-02       2.426326335611e+04 
       1.399877638831e-02       2.430255347745e+04 
       1.412958732884e-02       2.433974255630e+04 
       1.426043507419e-02       2.437480703047e+04 
       1.439131980423e-02       2.440790742911e+04 
       1.452224172101e-02       2.443875801557e+04 
       1.465320104851e-02       2.446779655207e+04 
       1.478419803240e-02       2.449475121347e+04 
       1.491523293980e-02       2.451966189559e+04 
       1.504630605911e-02       2.454267328460e+04 
       1.517741769985e-02       2.456375267424e+04 
       1.530856819255e-02       2.458300606829e+04 
       1.543975788858e-02       2.460029247346e+04 
       1.557098716012e-02       2.461578333715e+04 
       1.570225640011e-02       2.462952402593e+04 
       1.583356602217e-02       2.464138110683e+04 
       1.596491646060e-02       2.465139672171e+04 
       1.609630817040e-02       2.465977292117e+04 
       1.622774162731e-02       2.466627213621e+04 
       1.635921732781e-02       2.467117073726e+04 
       1.649073578922e-02       2.467436036611e+04 
       1.662229754981e-02       2.467591119777e+04 
       1.675390316885e-02       2.467501695515e+04 
       1.688555322676e-02       2.467406018764e+04 
       1.701724832528e-02       2.467063669144e+04 
       1.714898908758e-02       2.466572947265e+04 
       1.728077615847e-02       2.465852740117e+04 
       1.741261020458e-02       2.465129900428e+04 
       1.754449191459e-02       2.464172426868e+04 
       1.767642199942e-02       2.462999755358e+04 
       1.780840119252e-02       2.461833956235e+04 
       1.794043025011e-02       2.460329047793e+04 
       1.807250995145e-02       2.458819985337e+04 
       1.820464109918e-02       2.457224890820e+04 
       1.833682451955e-02       2.455407427380e+04 
       1.846906106285e-02       2.453461165247e+04 
       1.860135160366e-02       2.451328447032e+04 
       1.873369704128e-02       2.449107662918e+04 
       1.886609830010e-02       2.446813882928e+04 
       1.899855632995e-02       2.444217759649e+04 
       1.913107210656e-02       2.441733629606e+04 
       1.926364663200e-02       2.438924308094e+04 
       1.939628093508e-02       2.436096213458e+04 
       1.952897607184e-02       2.433172561473e+04 
       1.966173312607e-02       2.430082775791e+04 
       1.979455320975e-02       2.426874583031e+04 
       1.992743746362e-02       2.423450698176e+04 
       2.006038705769e-02       2.420117764136e+04 
       2.019340319181e-02       2.416523902264e+04 
       2.032648709628e-02       2.412925280428e+04 
       2.045964003239e-02       2.409084257321e+04 
       2.059286329309e-02       2.405280038306e+04 
       2.072615820359e-02       2.401247433276e+04 
       2.085952612207e-02       2.397235868035e+04 
       2.099296844032e-02       2.392973818246e+04 
       2.112648658447e-02       2.388700202304e+04 
       2.126008201571e-02       2.384334696549e+04 
       2.139375623105e-02       2.379952415343e+04 
